Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAVOR ÆAVAR;JOSIP DABRO;DAMIR DEKANIÆ;NIKOLA KAJKIÆ;TOMISLAV PANENIÆ
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;DRENOVCI;001;DRENOVCI;OPÆINSKA  NARODNA KNJIŽNICA DRENOVCI;BRAÆE RADIÆA 2;698;291;291;277;14;24;75;109;47;22
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;DRENOVCI;002;DRENOVCI;"OSNOVNA ŠKOLA ""FRANJO HANAMAN"" DRENOVCI";ISTREV 2;923;411;411;387;24;36;92;161;71;27
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;DRENOVCI;003;ÐURIÆI;"OSNOVNA ŠKOLA ""IVAN FILIPOVIÆ"" - PODRUÈNA ŠKOLA ÐURIÆI";M.GUPCA 99;217;121;121;113;8;11;10;69;18;5
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;DRENOVCI;004;POSAVSKI PODGAJCI;O.Š. DAVORIN TRSTENJAK;M.GUPCA 160;1000;458;458;431;27;31;42;161;118;79
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;DRENOVCI;005;RAÈINOVCI;"OSNOVNA ŠKOLA ""IVAN FILIPOVIÆ"" RAÈINOVCI";A.STARÈEVIÆA 1;582;315;315;304;11;19;14;210;43;18
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;DRENOVCI;006;RAJEVO SELO;DOM KULTURE U RAJEVOM SELU;RAJEVO SELO, ZRINSKIH I FRANKOPANA 60;870;296;296;275;21;47;44;126;29;29
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;GRADIŠTE;001;GRADIŠTE;"OSNOVNA ŠKOLA ""GRADIŠTE""";KOLODVORSKA UL.27;546;203;203;197;6;21;25;114;31;6
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;GRADIŠTE;002;GRADIŠTE;"OSNOVNA ŠKOLA ""GRADIŠTE""";KOLODVORSKA UL.27;797;259;259;245;14;20;40;137;37;11
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;GRADIŠTE;003;GRADIŠTE;"OSNOVNA ŠKOLA ""GRADIŠTE""";KOLODVORSKA UL.27;950;308;308;277;31;34;57;108;63;15
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;GUNJA;001;GUNJA;DRUŠTVENI DOM I KNJIŽNICA;VLADIMIRA NAZORA 113;666;391;391;382;9;40;81;179;66;16
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;GUNJA;002;GUNJA;"OŠ""ANTUN I STJEPAN RADIÆ"",PODRUÈNA ŠKOLA";VLADIMIRA NAZORA 112;849;442;439;403;36;59;51;189;81;23
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;GUNJA;003;GUNJA;CENTAR ZA JAVNE INICIJATIVE GUNJA;VLADIMIRA NAZORA 317 B;806;458;458;411;47;91;51;186;72;11
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;GUNJA;004;GUNJA;"OŠ ""ANTUN I STJEPAN RADIÆ""";MIROSLAVA KRLEŽE 55;854;356;356;321;35;53;54;148;56;10
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;IVANKOVO;001;IVANKOVO;SPORTSKA DVORANA;BOŠNJACI 10;1371;853;853;821;32;54;129;264;213;161
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;IVANKOVO;002;IVANKOVO;SPORTSKA DVORANA;BOŠNJACI 10;1253;750;750;722;28;57;119;272;143;131
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;IVANKOVO;003;IVANKOVO;PRIVATNA KUÆA ANÐELKE PEJIÆ;BOŠNJACI 158;1286;767;766;735;31;62;107;292;186;88
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;IVANKOVO;004;IVANKOVO;PRIVATNA KUÆA VLADE SALOPEKA;GORJANI 272;1070;603;603;571;32;25;63;198;146;139
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;IVANKOVO;005;RETKOVCI;DOM KULTURE RETKOVCI;M. GUPCA 7;983;572;571;545;26;57;67;257;128;36
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;IVANKOVO;006;PRKOVCI;DRUŠTVENI DOM PRKOVCI;GLAVNA 21;390;247;247;238;9;17;23;159;33;6
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;JARMINA;001;JARMINA;DOM TALIJANSKOG PRIJATELJSTVA;V.NAZORA 2;1079;680;679;649;30;61;115;316;121;36
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;JARMINA;002;JARMINA;OSNOVNA ŠKOLA JARMINA;J.J.STROSSMAYERA 3;909;565;565;541;24;41;119;243;89;49
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;LOVAS;001;LOVAS;ZGRADA OPÆINE LOVAS-VIJEÆNICA;A.STARÈEVIÆA BR. 5;654;412;412;383;29;21;39;197;77;49
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;LOVAS;002;OPATOVAC;PROSTORIJE MJESNOG ODBORA U OPATOVCU;TRG HRVATSKIH BRANITELJA BR. 1;244;145;145;136;9;14;21;73;9;19
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;MARKUŠICA;001;MARKUŠICA;DOM KULTURE MARKUŠICA;S.POPOVIÆA 2;431;121;121;88;33;27;5;40;5;11
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;MARKUŠICA;002;MARKUŠICA;NOVA ZGRADA OPÆINE MARKUŠICA;PERE CARA 2;346;99;97;74;23;29;8;25;5;7
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;MARKUŠICA;003;GABOŠ;DOM KULTURE;J.J.ZMAJA 1;380;110;110;95;15;21;4;61;5;4
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;MARKUŠICA;004;KARADŽIÆEVO;OSNOVNA ŠKOLA KARADŽIÆEVO;V.S.KARADŽIÆA BB;148;39;39;34;5;18;1;7;3;5
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;MARKUŠICA;005;OSTROVO;DOM KULTURE;MATIJE I LJUBINKA 3;476;143;143;126;17;28;13;66;14;5
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;MARKUŠICA;006;PODRINJE;PROSTORIJE MJESNOG ODBORA;GLAVNA BB;150;5;5;3;2;0;1;0;0;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;NEGOSLAVCI;001;NEGOSLAVCI;ZGRADA OPÆINE NEGOSLAVCI ( VELIKA SALA );VUKOVARSKA 7;943;421;421;304;117;60;21;198;12;13
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;NIJEMCI;001;NIJEMCI;"OSNOVNA ŠKOLA ""I. KOZARAC"" NIJEMCI";ZRINSKA 8;1248;767;766;701;65;38;238;175;184;66
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;NIJEMCI;002;ÐELETOVCI;"OSNOVNA ŠKOLA ""I.KOZARAC"" NIJEMCI-PODRUÈNA ŠKOLA ÐELETOVCI";BANA JELAÈIÆA 6;413;241;241;224;17;11;27;109;54;23
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;NIJEMCI;003;DONJE NOVO SELO;"OSNOVNA ŠKOLA ""I. KOZARAC"" NIJEMCI- PODRUÈNA ŠKOLA DONJE NOVO SELO";M.A.RELJKOVIÆA 83;374;258;258;248;10;18;50;115;50;15
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;NIJEMCI;004;PODGRAÐE;"OSNOVNA ŠKOLA "" I. KOZARAC""  NIJEMCI-PODRUÈNA ŠKOLA PODGRAÐE";ŠKOLSKA 2;290;153;153;147;6;9;52;54;24;8
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;NIJEMCI;005;APŠEVCI;OSNOVNA ŠKOLA LIPOVAC-PODRUÈNA ŠKOLA APŠEVCI;KRALJA TOMISLAVA 58;215;134;134;129;5;2;19;64;42;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;NIJEMCI;006;LIPOVAC;DRUŠTVENI DOM LIPOVAC;CVJETNO NASELJE 1 B;657;398;398;373;25;13;31;144;173;12
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;NIJEMCI;007;VINKOVAÈKI BANOVCI;OSNOVNA ŠKOLA ILAÈA- BANOVCI, PODRUÈNA ŠKOLA VINKOVAÈKI BANOVCI;M.TITA BB;104;62;62;53;9;18;5;12;8;10
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;NIJEMCI;008;BANOVCI;OSNOVNA ŠKOLA ILAÈA- BANOVCI, PODRUÈNA ŠKOLA BANOVCI;M.TITA BB;243;133;133;102;31;19;10;40;14;19
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;NUŠTAR;001;NUŠTAR;DOM KULTURE;KRIŽNOG PUTA 18;1082;696;695;651;44;34;183;210;156;68
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;NUŠTAR;002;NUŠTAR;"OŠ ""ZRINSKIH"" NUŠTAR";ZRINSKOG 13;1076;649;649;613;36;49;187;195;113;69
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;NUŠTAR;003;NUŠTAR;ZGRADA OPÆINE NUŠTAR;TRG DR. FRANJE TUÐMANA 1;675;413;413;389;24;22;152;97;71;47
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;NUŠTAR;004;MARINCI;ZGRADA VIJEÆA MJESNOG ODBORA MARINCI;VLADIMIRA NAZORA 14;512;277;277;252;25;26;54;88;63;21
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;NUŠTAR;005;CERIÆ;ZGRADA MJESNOG ODBORA, CERIÆ;TRG DR. FRANJE TUÐMANA 1;1184;724;724;685;39;29;121;304;163;68
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;PRIVLAKA;001;PRIVLAKA;DOM UMIROVLJENIKA;B.J.ŠOKÈEVIÆA 1;797;526;525;494;31;19;75;273;103;24
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;PRIVLAKA;002;PRIVLAKA;"KUD ""IVAN DOMAC""";B.J.ŠOKÈEVIÆA 3;651;418;418;398;20;24;83;159;91;41
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;PRIVLAKA;003;PRIVLAKA;OPÆINA PRIVLAKA;FALIÈEVCI 7;859;606;606;561;45;25;124;214;152;46
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;STARI JANKOVCI;001;STARI JANKOVCI;ZGRADA OPÆINE;DR.FRANJE TUÐMANA 1;1242;507;507;480;27;19;87;233;75;66
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;STARI JANKOVCI;002;NOVI JANKOVCI;ZGRADA MJESNOG ODBORA;ŠKOLSKA 1;728;306;306;291;15;7;35;177;55;17
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;STARI JANKOVCI;003;SLAKOVCI;"ZGRADA POSLOVNOG CENTRA ""SLAK""";PETRA PRERADOVIÆA 52;765;338;338;327;11;10;81;166;47;23
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;STARI JANKOVCI;004;OROLIK;ZGRADA MJESNOG ODBORA;I.G.KOVAÈIÆA 1;410;170;170;141;29;28;15;55;21;22
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;STARI JANKOVCI;005;SRIJEMSKE LAZE;ZGRADA MJESNOG ODBORA;ULICA DANILA KOVAÈEVIÆA 1;433;140;140;114;26;33;15;46;13;7
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;STARI MIKANOVCI;001;STARI MIKANOVCI;"""CENTAR I"" U STARIM MIKANOVCIMA";VLADIMIRA NAZORA 2;675;311;311;300;11;65;39;119;64;13
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;STARI MIKANOVCI;002;STARI MIKANOVCI;"""CENTAR II"" U STARIM MIKANOVCIMA";MATIJE GUPCA 2;562;357;357;336;21;94;74;103;53;12
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;STARI MIKANOVCI;003;STARI MIKANOVCI;"""ŠUMARIJA STARI MIKANOVCI""";VLADIMIRA NAZORA 54;634;411;411;395;16;102;51;158;66;18
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;STARI MIKANOVCI;004;NOVI MIKANOVCI;NOVI MIKANOVCI;BRAÆE RADIÆA 146;445;257;257;236;21;38;50;82;54;12
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;ŠTITAR;001;ŠTITAR;OSNOVNA  ŠKOLA IVANA MARTINOVIÆA;ŠKOLSKA 23;996;470;470;449;21;35;148;170;74;22
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;ŠTITAR;002;ŠTITAR;OSNOVNA  ŠKOLA IVANA MARTINOVIÆA;ŠKOLSKA 23;855;353;353;334;19;40;116;128;30;20
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TOMPOJEVCI;001;BERAK;DOM KULTURE BERAK;OROLIÈKA 9;300;205;205;201;4;0;9;64;20;108
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TOMPOJEVCI;002;BOKŠIÆ;DOM KULTURE BOKŠIÆ;RADIÆEVA 21;91;69;69;68;1;0;8;31;13;16
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TOMPOJEVCI;003;ÈAKOVCI;DOM KULTURE ÈAKOVCI;ŠANDORA PETEFIJA 15;285;165;165;156;9;6;15;53;21;61
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TOMPOJEVCI;004;MIKLUŠEVCI;DRUŠTVENI DOM MIKLUŠEVCI;TRG ŽRTAVA DOMOVINSKOG RATA 2;284;169;169;161;8;9;17;28;34;73
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TOMPOJEVCI;005;TOMPOJEVCI;HRVATSKI DOM;RADIÆEVA 23;227;155;155;148;7;2;21;34;31;60
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TORDINCI;001;ZGRADA OPÆINE TORDINCI;TORDINCI;TRG HRVATSKIH ŽRTAVA 9;636;436;436;410;26;22;41;302;32;13
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TORDINCI;002;ZGRADA DOMA KULTURE U KOROGU;KOROG;PETEFI ŠANDORA 1;409;264;264;226;38;40;31;120;24;11
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TORDINCI;003;ZGRADA MJESNOG ODBORA MLAKA ANTINSKA;MLAKA ANTINSKA;GLAVNA 17;60;37;37;36;1;7;10;14;3;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TORDINCI;004;ZGRADA MJESNOG ODBORA ANTIN;ANTIN;I.GUNDULIÆA 85;562;416;416;388;28;22;103;162;81;20
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TOVARNIK;001;TOVARNIK;DOM UMIROVLJENIKA;A.G.MATOŠA 12;583;323;323;301;22;21;79;116;54;31
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TOVARNIK;002;TOVARNIK;VATROGASNI DOM TOVARNIK;A.G.MATOŠA 3;472;270;270;254;16;10;79;103;45;17
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TOVARNIK;003;TOVARNIK;"ZGRADA ""AGRO-TOVARNIK"" TOVARNIK";VLÈ.IVE BURIKA 43;428;241;241;227;14;15;58;76;53;25
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TOVARNIK;004;ILAÈA;HRVATSKI DOM ILAÈA;V.NAZORA 29;638;398;398;390;8;12;84;175;52;67
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TRPINJA;001;TRPINJA;LOVAÈKI DOM  TRPINJA;GAJÈANSKA 3;1111;327;326;209;117;63;23;43;37;43
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TRPINJA;002;BRŠADIN;DOM KULTURE BRŠADIN;V.ÐURÐEVIÆA 42;977;452;451;318;133;98;60;71;33;56
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TRPINJA;003;BOBOTA;DOM KULTURE BOBOTA;MITROVIÆEVA 29;1085;410;409;275;134;84;35;90;36;30
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TRPINJA;004;VERA;O.Š. BOBOTA, PODRUÈNA ŠKOLA VERA;M. OBILIÆA 2;337;123;123;77;46;30;8;15;12;12
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TRPINJA;005;PAÈETIN;DOM KULTURE PAÈETIN;PANDUREVIÆEVA 2;384;244;244;151;93;46;24;36;16;29
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TRPINJA;006;LUDVINCI;O.Š. BOBOTA, PODRUÈNA ŠKOLA LUDVINCI;VLADIMIRA BAKARIÆA 12;84;50;50;30;20;7;2;5;4;12
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;TRPINJA;007;ÆELIJE;MJESNI ODBOR ÆELIJE;IVANOVA 37;99;54;54;51;3;4;11;35;0;1
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;VOÐINCI;001;VOÐINCI;OPÆINSKA VIJEÆNICA;J.J.STROSSMAYERA 198;655;450;450;432;18;28;31;202;158;13
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;VOÐINCI;002;VOÐINCI;SALA ZA VJENÈANJE;J.J.STROSSMAYERA 198;886;597;597;567;30;19;56;266;201;25
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;VRBANJA;001;VRBANJA;DOM KULTURE VRBANJA - MALA SALA;TRG DR.FRANJE TUÐMANA 1;773;346;346;332;14;12;90;155;53;22
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;VRBANJA;002;VRBANJA;ŠUMARIJA VRBANJA;K.LJ.POSAVSKOG 14;704;296;296;288;8;20;64;128;62;14
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;VRBANJA;003;VRBANJA;JAVNA GRAÐEVINA-POLUDNEVNI BORAVAK ZA STARIJE OSOBE;KOLODVORSKA 155;413;187;187;185;2;7;29;104;32;13
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;VRBANJA;004;SOLJANI;"OŠ ""JOSIP KOZARAC"" SOLJANI";TOMISLAVOVA 5A;439;209;209;199;10;11;42;91;37;18
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;VRBANJA;005;SOLJANI;DOM KULTURE SOLJANI;M.GUPCA 2;499;182;182;179;3;9;36;81;40;13
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;VRBANJA;006;STROŠINCI;"O.Š. ""JOSIP KOZARAC"", PODRUÈNA ŠKOLA STROŠINCI";V.NAZORA 44;392;196;196;182;14;10;21;116;31;4
