Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;NIKOLA DOBROSLAVIÆ;BOŽO PETROV
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;017;POPOVIÆI;"OSNOVNA ŠKOLA ""POPOVIÆI""";POPOVIÆI BB;216;103;103;101;2;65;36
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;018;PRIDVORJE;"OMLADINSKI DOM ""PRIDVORJE""";PRIDVORJE BB;201;72;72;67;5;46;21
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;019;LOVORNO;"OSNOVNA ŠKOLA ""LOVORNO""";LOVORNO BB;176;71;71;69;2;39;30
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;020;RADOVÈIÆI;"OSNOVNA ŠKOLA ""RADOVÈIÆI""";RADOVÈIÆI BB;175;83;83;78;5;27;51
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;021;STRAVÈA;"OSNOVNA ŠKOLA ""STRAVÈA""";STRAVÈA BB;47;30;30;30;0;28;2
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;022;USKOPLJE;"BOÆARSKI DOM ""USKOPLJE"" - USKOPLJE";USKOPLJE BB;111;48;48;46;2;25;21
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;023;VITALJINA;"OSNOVNA ŠKOLA ""VITALJINA""";VITALJINA BB;154;50;50;49;1;28;21
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;024;VODOVAÐA;"OSNOVNA ŠKOLA ""VODOVAÐA""";VODOVAÐA BB;264;89;89;87;2;62;25
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;025;DUBA KONAVOSKA;DOM MLADEŽI DUBA KONAVOSKA;DUBA KONAVOSKA BB;63;45;45;45;0;36;9
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;026;KUNA KONAVOSKA;"OSNOVNA ŠKOLA ""KUNA KONAVOSKA""";KUNA KONAVOSKA BB;16;9;9;9;0;5;4
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;027;ÐURINIÆI;DOM KULTURE ÐURINIÆI;ÐURINIÆI BB;76;41;41;38;3;22;16
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;028;BROTNICE;OSNOVNA ŠKOLA BROTNICE;BROTNICE BB;52;26;26;25;1;20;5
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KULA NORINSKA;001;DESNE;KUÆA VEDRANA BEBIÆA;STRIMEN 12.;109;54;54;53;1;32;21
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KULA NORINSKA;002;KRVAVAC;"PROSTORIJE  ""DOMA KULTURE""";KRVAVAC,TRG MARIJA NIKOLIÆA KIŠA 1;418;229;229;225;4;126;99
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KULA NORINSKA;003;KRVAVAC II.;PROSTORIJE SPORTSKOG CENTRA;KRVAVAC II, NERETVANSKA BB;266;108;108;107;1;68;39
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KULA NORINSKA;004;KULA NORINSKA;PROSTORIJE  OSNOVNE ŠKOLE;KULA NORINSKA;271;130;130;127;3;55;72
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KULA NORINSKA;005;MOMIÆI;PROSTORIJE OSNOVNE ŠKOLE;MOMIÆI;155;86;86;86;0;50;36
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KULA NORINSKA;006;PODRUJNICA;"U PROSTORIJAMA ""MJESNOG DOMA""";PODRUJNICA;108;64;64;64;0;31;33
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KULA NORINSKA;007;NOVA SELA;PROSTORIJE BIVŠE OSNOVNE ŠKOLE;NOVA SELA;63;29;29;29;0;18;11
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;LASTOVO;001;UBLE;"PROSTORIJA PARKA PRIRODE ""LASTOVSKO OTOÈJE"", UBLE";TRG SV. PETRA 7;322;196;196;184;12;72;112
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;LASTOVO;002;LASTOVO;MALA VIJEÆNICA U ZGRADI NA PJEVORU;LASTOVO, PJEVOR 14;280;175;175;170;5;69;101
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;LASTOVO;003;LASTOVO;"PROSTORIJE OŠ ""BRAÆA GLUMAC"" LASTOVO";DOLAC 11;247;139;139;135;4;59;76
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;LUMBARDA;001;LUMBARDA;ZGRADA DOMA - OPÆINSKA VIJEÆNICA;LUMBARDA;1109;368;368;356;12;205;151
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;001;GOVEÐARI;PROSTORIJE MO  GOVEÐARI U PROSTORU OŠ GOVEÐARI;GOVEÐARI BB;172;76;76;74;2;61;13
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;002;POLAÈE;PROSTORIJE TZO MLJET U POLAÈAMA;POLAÈE BB;118;61;61;60;1;49;11
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;003;BLATO;"PROSTORIJE  ""STARE ŠKOLE BLATO"" U BLATU";BLATO BB;97;57;57;56;1;46;10
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;004;BABINO POLJE-ZABREŽJE;DOM KULTURE  ZABREŽJE U BABINOM POLJU;BABINO POLJE - ZABREŽJE BB;149;80;80;79;1;36;43
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;005;BABINO POLJE-ZADUBLJE;"ZGRADA ""STARA OPÆINA"" U BABINOM POLJU";BABINO POLJE-ZADUBLJE BB;131;46;46;44;2;24;20
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;006;SOBRA;"PROSTORIJE MJESNOG ODBORA SOBRA ""STARO SKLADIŠTE"" U SOBRI";SOBRA BB;106;48;48;47;1;36;11
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;007;PROŽURA;PROSTORIJE AMBULANTE U PROŽURI;PROŽURA BB;81;51;51;49;2;20;29
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;008;MARANOVIÆI;DRUŠTVENE PROSTORIJE  U MARANOVIÆIMA;MARANOVIÆI BB;97;54;54;54;0;44;10
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;009;KORITA;PROSTORIJE AMBULANTE U KORITIMA;KORITA BB;142;77;77;75;2;56;19
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;001;TRSTENIK;PROSTORIJE MJESNOG ODBORA;TRSTENIK BB;94;43;43;42;1;19;23
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;002;PIJAVIÈINO;MJESNI ODBOR  PIJAVIÈINO - HRVATSKA ÈIT.;PIJAVIÈINO BB;87;37;37;37;0;21;16
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;003;POTOMJE;PROSTORIJE DOMA POTOMJE;POTOMJE BB;187;108;108;105;3;55;50
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;004;DONJA BANDA;"PROSTORIJE PZ ""POSTUP"" DONJA BANDA";DONJA BANDA BB;147;40;40;39;1;24;15
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;005;KUNA;PROSTORIJE OŠ KUNA;KUNA BB;192;101;101;101;0;50;51
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;006;OSKORUŠNO;PROSTORIJE OŠ OSKORUŠNO;OSKORUŠNO BB;94;44;44;44;0;35;9
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;007;OREBIÆ;DJEÈJI VRTIÆ OREBIÆ;BANA J. JELAÈIÆA 8;977;278;278;276;2;186;90
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;008;OREBIÆ;ZGRADA OPÆINE;OBALA POMORACA 24;1287;375;375;371;4;205;166
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;009;KUÆIŠTE;PROSTORIJE ŠKOLE KUÆIŠTE;KUÆIŠTE;247;73;73;72;1;23;49
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;010;VIGANJ;HRVATSKI DOM VIGANJ;VIGANJ;265;97;97;95;2;65;30
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;011;LOVIŠTE;PROSTORIJE DOMA;LOVIŠTE;207;81;81;77;4;46;31
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;POJEZERJE;001;OTRIÆI;"KULTURNO-SORTSKI CENTAR ""DOCI""";OTRIÆ-SEOCI;287;184;183;179;4;119;60
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;POJEZERJE;002;SEOCI;"KULTURNO-SPORTSKI CENTAR ""DOCI""";OTRIÆ-SEOCI;310;179;179;177;2;128;49
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;POJEZERJE;003;KOBILJAÈA;PROSTORIJE OBITELJSKE KUÆE SREÆKA ŽDERIÆA;KOBILJAÈA 6;193;148;148;145;3;52;93
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;POJEZERJE;004;MALI PROLOG;OBITELJSKA KUÆA  NEVENA DOMINIKOVIÆA;MALI PROLOG;29;13;13;12;1;7;5
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;POJEZERJE;005;POZLA GORA;DOM KULTURE;POZLA GORA;51;49;49;45;4;28;17
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;001;BLACE;PROSTORIJE PODRUÈNE OSNOVNE ŠKOLE;BLACE;270;120;120;116;4;74;42
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;002;DUBOKA;DOM U DUBOKOJ;DUBOKA;113;25;25;23;2;15;8
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;003;KLEK;PROSTORIJE TURISTIÈKOG NASELJA KLEK;KLEK, TRG PALMI 1 A;214;67;67;66;1;40;26
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;004;KOMARNA;PROSTORIJE VILE BILI IVE JERKOVIÆA;KOMARNA, KOMARNA 79;176;81;81;78;3;59;19
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;005;MIHALJ;PROSTORIJE BIVŠE TRGOVINE   U MIHALJU;MIHALJ;191;94;94;91;3;75;16
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;006;OTOK;PROSTORIJE STAMBENOG OBJEKTA TONÆE PALINIÆA POK.STANKE U OTOKU;OTOK;64;42;42;42;0;36;6
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;007;PODGRADINA;OPÆINSKA VIJEÆNICA;PODGRADINA;208;86;86;84;2;55;29
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;008;TRN;PROSTORIJE  MJESNOG ODBORA U TRNU;TRN;134;75;75;74;1;51;23
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;009;TUŠTEVAC;MJESNI ODBOR;TUŠTEVAC;124;69;69;66;3;54;12
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;010;VLAKA;PROSTORIJE MJESNOG ODBORA NA VLACI;VLAKA, A. STEPINCA 102/1;239;132;132;126;6;94;32
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SMOKVICA;001;SMOKVICA;SPORTSKA DVORANA U SMOKVICI;SMOKVICA;427;209;209;206;3;114;92
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SMOKVICA;002;SMOKVICA;RECEPCIJA HOTELA AMINESS LUME U BRNI;BRNA;389;187;187;184;3;91;93
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;001;BRIJESTA;DRUŠTVENI DOM BRIJESTA;BRIJESTA BB;59;29;29;28;1;25;3
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;002;HODILJE;ZGRADA OSNOVNE ŠKOLE  HODILJE;HODILJE 115;360;81;81;77;4;46;31
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;003;MALI STON;VILLA KORUNA KONFERENCIJSKA DVORANA;MALI STON;126;49;49;44;5;23;21
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;004;PONIKVE;ZGRADA OSNOVNE ŠKOLE;SPARAGOVIÆI BB;324;116;116;113;3;51;62
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;005;PUTNIKOVIÆ;ZGRADA POLJOPRIVREDNE ZADRUGE;PUTNIKOVIÆ;310;134;134;131;3;71;60
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;006;STON;DOM KULTURE;STON  BB;608;182;182;179;3;88;91
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;007;ZAMASLINA;OBJEKT ANTUNA ŠTRBINIÆA;ZAMASLINA 10;111;51;51;48;3;12;36
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;008;ŽULJANA;ZGRADA OŠ PROSTORIJE  MO ŽULJANA;ŽULJANA BB;229;89;89;87;2;24;63
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;TRPANJ;001;TRPANJ;"PROSTORIJE OSNOVNE ŠKOLE ""TRPANJ""";TRPANJ,KRALJA TOMISLAVA 41;564;222;222;222;0;130;92
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;TRPANJ;002;GORNJA VRUÆICA;PROSTORIJE DOMA  KULTURE GORNJA VRUÆICA;GORNJA VRUÆICA;38;21;21;20;1;11;9
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;TRPANJ;003;DONJA VRUÆICA;PROSTORIJE DOMA KULTURE  DONJA VRUÆICA;DONJA VRUÆICA;20;13;13;13;0;10;3
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;TRPANJ;004;DUBA PELJEŠKA;PROSTORIJE DOMA KULTURE U DUBI PELJEŠKOJ;DUBA PELJEŠKA BB;45;11;11;11;0;5;6
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;VELA LUKA;001;VELA LUKA;"HOTEL ""JADRAN""";OBALA IV. BR. 21;885;375;375;370;5;121;249
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;VELA LUKA;002;VELA LUKA;CENTAR ZA KULTURU;ULICA 26 BROJ 2;843;332;332;327;5;127;200
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;VELA LUKA;003;VELA LUKA;OSNOVNA ŠKOLA;OBALA 3 BROJ 1;691;255;255;247;8;106;141
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;VELA LUKA;004;VELA LUKA;KONOBA DAVORIN;ULICA 1 BROJ 12;1131;443;443;437;6;169;268
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ZAŽABLJE;001;BIJELI VIR;OSNOVNA ŠKOLA;BIJELI VIR;242;78;78;77;1;50;27
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ZAŽABLJE;002;MLINIŠTE;DRUŠTVENI DOM MLINIŠTE;MLINIŠTE BB;263;120;120;117;3;87;30
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ZAŽABLJE;003;MISLINA;KUÆA IVE GLAVINIÆA (ÈADRE) BB;MISLINA;43;11;11;11;0;6;5
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ZAŽABLJE;004;BADŽULA;KUÆA DRAGANA CRNÈEVIÆA (BEKLIJE)BADŽULA;BADŽULA;53;34;34;34;0;13;21
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ŽUPA DUBROVAÈKA;001;MARTINOVIÆI;"OSNOVNA ŠKOLA ""MARTINOVIÆI""";MARTINOVIÆI 50;552;169;169;163;6;99;64
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ŽUPA DUBROVAÈKA;002;DOM NA DONJEM BRGATU;DONJI BRGAT;PUT  KRALJA TOMISLAVA 32;263;143;143;141;2;108;33
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ŽUPA DUBROVAÈKA;003;PETRAÈA;"NOVA OSNOVNA ŠKOLA ""ŽUPA DUBROVAÈKA"" U PETRAÈI";DR. ANTE STARÈEVIÆA 84;1648;479;479;473;6;267;206
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ŽUPA DUBROVAÈKA;004;ÈIBAÈA;PROSTORIJE  NK ŽUPA DUBROVAÈKA U  ÈIBAÈI;PUT DR. ANTE STARÈEVIÆA 98;1781;498;498;496;2;289;207
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ŽUPA DUBROVAÈKA;005;SREBRENO;PROSTORIJE OPÆINE ŽUPA DUBROVAÈKA U SREBRENOM;VUKOVARSKA 48;1823;440;440;434;6;221;213
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ŽUPA DUBROVAÈKA;006;PLAT;"PROSTORIJE HOTELA ""PLAT"" U PLATU";PLAT 47;540;243;243;235;8;140;95
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ŽUPA DUBROVAÈKA;007;MLINI;"PROSTORIJE HOTELA ""ASTAREA""U MLINIMA";ŠETALIŠTE MARKA MAROJICE 40;915;227;227;222;5;107;115
