Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAVOR DRETAR;ANÐELKO FEREK-JAMBREK;ŽELJKO KOLAR;ERNEST SVAŽIÆ
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;005;DUBOVEC;PODRUÈNA ŠKOLA;DUBOVEC 76;271;156;156;151;5;15;18;100;18
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;006;GUSAKOVEC;KUÆA DRAGUTINA MIKULEC;GUSAKOVEC 55B;170;78;78;74;4;6;22;41;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;007;MODROVEC;DRUŠTVENI DOM;MODROVEC BB;330;181;181;177;4;20;23;113;21
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;008;SLANI POTOK;KUÆA IVANA ÐURÐEVIÆA;SLANI POTOK 19;326;125;125;121;4;22;25;39;35
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;009;BREZJE;KUÆA STJEPANA NOVINE;BREZJE 7;195;113;113;110;3;22;22;61;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;010;KARIVAROŠ;KUÆA SLAVKA MAKARA;KARIVAROŠ 96;258;96;96;90;6;17;13;46;14
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;011;JAKŠINEC;KUÆA JOSIPA IVANIÆA;JAKŠINEC 3D;210;93;93;90;3;7;24;50;9
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;012;GORNJA STUBICA;"OSNOVNA ŠKOLA ""MATIJE GUPCA""";ULICA MATIJE GUPCA 2;732;300;300;287;13;34;46;177;30
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;013;SAMCI;MUZEJ SELJAÈKIH BUNA;SAMCI 64;276;172;172;164;8;21;26;101;16
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;014;PASANSKA GORICA;KUÆA MLADENA ÈUPARA;PASANSKA GORICA 4B;129;77;77;75;2;8;9;49;9
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;015;ŠAGUDOVEC;DVD ŠAGUDOVEC;ŠAGUDOVEC BB;162;70;70;69;1;6;14;30;19
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;HRAŠÆINA;001;TRGOVIŠÆE;OSNOVNA ŠKOLA TRGOVIŠÆE;TRGOVIŠÆE BB;286;131;131;129;2;10;10;83;26
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;HRAŠÆINA;002;HRAŠÆINA;KUÆA DRAGUTINA ŠVECA;HRAŠÆINA 6;161;69;69;66;3;6;1;46;13
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;HRAŠÆINA;003;VRBOVO;PROSTORIJE DVD VRBOVO;VRBOVO BB;220;90;90;90;0;10;9;61;10
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;HRAŠÆINA;004;HUSINEC;STARA ŠKOLA HUSINEC;HUSINEC BB;195;79;79;78;1;11;5;50;12
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;HRAŠÆINA;005;KRALJEVEC;PROSTORIJE VIS KONFEKCIJA D.D. VARAŽDIN;GORNJI KRALJEVEC BB;357;174;174;169;5;15;21;92;41
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;HUM NA SUTLI;001;LUPINJAK;PODRUÈNA ŠKOLA;LUPINJAK;421;163;163;160;3;26;7;96;31
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;HUM NA SUTLI;002;KLENOVEC HUMSKI;VATROGASNI DOM;KLENOVEC HUMSKI;294;151;151;147;4;16;6;96;29
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;HUM NA SUTLI;003;OREŠJE HUMSKO;SPOMEN DOM;OREŠJE HUMSKO;305;154;154;151;3;16;7;107;21
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;HUM NA SUTLI;004;DRUŠKOVEC HUMSKI;PODRUÈNA ŠKOLA;DRUŠKOVEC HUMSKI;550;262;262;253;9;27;17;129;80
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;HUM NA SUTLI;005;BREZNO;PODRUÈNA ŠKOLA;BREZNO;361;135;135;132;3;23;6;73;30
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;HUM NA SUTLI;006;PRIŠLIN;PODRUÈNA ŠKOLA;PRIŠLIN;860;386;386;376;10;43;22;247;64
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;HUM NA SUTLI;007;LASTINE;MATIÈNI URED;LASTINE 1;701;316;316;300;16;37;16;193;54
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;HUM NA SUTLI;008;HUM NA SUTLI;OPÆINA HUM NA SUTLI;HUM NA SUTLI 175;545;263;263;255;8;36;13;160;46
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;JESENJE;001;GORNJE JESENJE;DOM KULTURE;GORNJE JESENJE 103;590;418;418;399;19;48;21;160;170
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;JESENJE;002;DONJE JESENJE;DRUŠTVENI DOM;DONJE JESENJE  61 C;297;209;209;203;6;14;16;133;40
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;JESENJE;003;CERJE JESENJSKO;KUÆA JOSIPA KRANJÈECA;CERJE JESENJSKO 2 A;129;94;94;90;4;9;9;38;34
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;JESENJE;004;LUŽANI ZAGORSKI;KUÆA BUKVIÆ DRAGUTINA;LUŽANI ZAGORSKI 44A;90;72;72;66;6;2;6;13;45
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;JESENJE;005;BRDO JESENJSKO;KUÆA RANOGAJEC IVANA;BRDO JESENJSKO 16;133;86;86;83;3;15;3;23;42
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KONJŠÈINA;001;KONJŠÈINA;SREDNJA ŠKOLA KONJŠÈINA;MATIJE GUPCA 5;819;578;578;562;16;66;35;350;111
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KONJŠÈINA;002;GALOVEC;VATROGASNI DOM GALOVEC;GALOVEC;329;238;238;230;8;24;11;134;61
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KONJŠÈINA;003;JERTOVEC;OSNOVNA ŠKOLA KONJŠÈINA, PODRUÈNA ŠKOLA JERTOVEC;JERTOVEC;569;348;348;335;13;29;14;194;98
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KONJŠÈINA;004;PEŠÆENO;DRUŠTVENI DOM;PEŠÆENO BB;122;77;77;76;1;6;4;41;25
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KONJŠÈINA;005;BOÈADIR;DRUŠTVENI DOM;BOÈADIR;188;141;141;137;4;10;4;83;40
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KONJŠÈINA;006;TURNIŠÆE;DRUŠTVENI DOM;TURNIŠÆE;239;108;108;104;4;10;7;56;31
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KONJŠÈINA;007;KLIMEN;DRUŠTVENI DOM;KLIMEN;104;58;58;58;0;5;1;26;26
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KONJŠÈINA;008;GORNJA KONJŠÈINA;VATROGASNI DOM;GORNJA KONJŠÈINA;170;116;116;114;2;19;3;50;42
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KONJŠÈINA;009;DONJA KONJŠÈINA;VATROGASNI DOM;DONJA KONJŠÈINA;271;187;187;176;11;20;9;103;44
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KONJŠÈINA;010;SUŠOBREG;DRUŠTVENI DOM;SUŠOBREG;176;126;126;122;4;9;4;47;62
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRALJEVEC NA SUTLI;001;STRMEC SUTLANSKI;MUZIÈKI DOM U STRMCU SUTLANSKOM;STRMEC SUTLANSKI 29C;212;135;135;129;6;16;6;79;28
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRALJEVEC NA SUTLI;002;RADAKOVO;PODRUÈNA ŠKOLA RADAKOVO;RADAKOVO 53;380;230;230;220;10;13;9;165;33
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRALJEVEC NA SUTLI;003;KRALJEVEC NA SUTLI;OPÆINSKA ZGRADA OPÆINE KRALJEVEC NA SUTLI;KRALJEVEC NA SUTLI 132;477;250;250;238;12;11;17;159;51
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRALJEVEC NA SUTLI;004;DRAŠE;VATROGASNI DOM DRAŠE;DRAŠE 7;297;198;198;196;2;18;12;133;33
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;001;ÈRET;VATROGASNI DOM;ÈRET 30;606;313;313;301;12;26;70;118;87
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;002;GREGUROVEC;PODRUÈNA ŠKOLA;GREGUROVEC 12;295;182;182;177;5;3;5;86;83
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;003;KRAPINSKE TOPLICE;DOM KULTURE;K.Š.ÐALSKOG 1;169;67;67;67;0;2;6;37;22
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;004;JURJEVEC;DRUŠTVENI DOM;JURJEVEC;286;172;172;169;3;22;11;90;46
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;005;KLOKOVEC;KUÆA GUDIÆ ANE MARI;KLOKOVEC 212;742;380;380;368;12;19;23;210;116
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;006;KRAPINSKE TOPLICE I;DOM KULTURE;K.Š.ÐALSKOG 1;463;258;258;242;16;22;19;92;109
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;007;KRAPINSKE TOPLICE II;OSNOVNA ŠKOLA;ZAGREBAÈKA 12;803;433;433;426;7;21;21;226;158
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;008;MALA ERPENJA I;VATROGASNI DOM;MALA ERPENJA 249;210;89;89;89;0;9;8;57;15
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;009;MALA ERPENJA II;DRUŠTVENI DOM;MALA ERPENJA BB;262;128;128;126;2;14;4;72;36
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;010;SELNO;DRUŠTVENI DOM;SELNO BB;309;157;157;151;6;9;11;92;39
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KRAPINSKE TOPLICE;011;VRTNJAKOVEC;DRUŠTVENI DOM;VRTNJAKOVEC 33A;391;202;202;200;2;10;4;110;76
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KUMROVEC;001;KUMROVEC I RAZVOR;VIJEÆNICA OPÆINE KUMROVEC;KUMROVEC, ULICA JOSIPA BROZA 12;402;222;222;217;5;9;61;129;18
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KUMROVEC;002;KLADNIK;POSLOVNI PROSTOR AUTOLIMAR BOŽIDAR BERC;KLADNIK 45;97;61;61;59;2;2;13;38;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KUMROVEC;003;DONJI ŠKRNIK;OBITELJSKA KUÆA DRAGUTINA ŠPILJARA;DONJI ŠKRNIK 28;127;58;58;58;0;1;22;32;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KUMROVEC;004;RAVNO BREZJE, RAZDRTO TUHELJSKO I DUGNJEVEC;OBITELJSKA KUÆA IVANKE ŽNIDAREC;RAVNO BREZJE 19;324;139;139;133;6;14;36;65;18
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KUMROVEC;005;RISVICA I PODGORA;OBITELJSKA KUÆA MONIKE FIKET;RISVICA 49;258;127;127;124;3;4;16;94;10
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;KUMROVEC;006;VELINCI;POSLOVNI PROSTOR JOSIPA PEÆNIKA;VELINCI 19A;85;37;37;37;0;0;19;17;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;LOBOR;001;MARKUŠBRIJEG;"DRUŠTVENI DOM ""VINIPOTOK""";MARKUŠBRIJEG 130B;375;213;213;209;4;15;12;110;72
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;LOBOR;002;ZAVRŠJE LOBORSKO;KUÆA IVICE KOSTANJEVEÈKI;ZAVRŠJE LOBORSKO 26B;239;117;117;114;3;17;8;50;39
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;LOBOR;003;STARI GOLUBOVEC;DRUŠTVENI DOM;STARI GOLUBOVEC 88B;158;95;95;93;2;3;6;62;22
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;LOBOR;004;LOBOR;DRUŠTVENI DOM LOBOR;TRG SV. ANE 30;413;264;264;260;4;19;12;144;85
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;LOBOR;005;VOJNOVEC LOBORSKI I;KUÆA BARICE KUHARIÆ;VINIPOTOK 7B;241;159;159;155;4;9;8;55;83
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;LOBOR;006;VOJNOVEC LOBORSKI II;KUÆA IVANKE LENARTIÆ;VOJNOVEC LOBORSKI 108A;236;164;164;161;3;7;9;75;70
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;LOBOR;007;PETROVA GORA;DRUŠTVENI DOM;PETROVA GORA 15B;191;97;97;93;4;7;4;38;44
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;LOBOR;008;PETROVA GORA;KUÆA DANIJELA ŠKUDARA;PETROVA GORA 168A;224;115;115;114;1;5;18;50;41
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;LOBOR;009;VELIKA PETROVAGORSKA;KUÆA STJEPANA HORVATA;VELIKA PETROVAGORSKA 32A;190;103;103;98;5;5;10;36;47
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MAÈE;001;MAÈE;DOM KULTURE OPÆINE MAÈE;MAÈE 30;564;278;278;275;3;24;14;197;40
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MAÈE;002;MALI BUKOVEC;KUÆA STJEPANA JAMBREKOVIÆA;MALI BUKOVEC 25A;187;88;88;86;2;3;1;70;12
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MAÈE;003;VELIKI BUKOVEC;LOVAÈKI DOM;VELIKI BUKOVEC 1;258;112;112;108;4;12;4;74;18
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MAÈE;004;VELIKI KOMOR;KUÆA DRAGICE BAÈUN;VELIKI KOMOR 149;133;77;77;77;0;7;3;54;13
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MAÈE;005;VELIKI KOMOR;KUÆA JOSIPE BUKAL;VELIKI KOMOR 18D;245;97;97;97;0;4;8;68;17
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MAÈE;006;VUKANCI-PERŠAVES;PROSTORIJE BIVŠEG CAFFE BARA BAKMUS;PERŠAVES 4;188;100;100;98;2;4;4;68;22
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MAÈE;007;DELKOVEC;KUÆA DRAGUTINA SEDLARA;DELKOVEC 30;114;57;57;54;3;8;4;36;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MAÈE;008;PERŠAVES;PODRUÈNA ŠKOLA;PERŠAVES BB;305;163;163;159;4;4;15;111;29
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;001;MARIJA BISTRICA;DOM KULTURE;ZAGREBAÈKA BB;911;466;466;457;9;48;17;235;157
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;002;MARIJA BISTRICA II;"TERMOLAKIRNICA ""ŠTAGAR""";STUBIÈKA CESTA 20;400;170;170;168;2;30;17;77;44
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;003;PODGORJE BISTRIÈKO;"OSNOVNA ŠKOLA ""M.BISTRICA""";ZAGREBAÈKA 15;780;287;287;277;10;35;10;148;84
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;004;LAZ BISTRIÈKI;VATROGASNI DOM DVD-A LAZ;LAZ BISTRIÈKI;841;246;245;240;5;55;14;103;68
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;005;GLOBOÈEC;PODRUÈNA ŠKOLA GLOBOÈEC;GLOBOÈEC;434;171;171;165;6;18;3;82;62
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;006;POLJANICA BISTRIÈKA;PODRUÈNA ŠKOLA;POLJANICA BISTRIÈKA;306;88;88;86;2;6;1;55;24
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;007;SUŠOBREG;KUÆA VRABEC MILORADA;SUŠOBREG BISTRIÈKI 120B;68;24;24;23;1;1;2;15;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;008;SELNICA;VATROGASNI DOM;SELNICA;516;197;197;193;4;13;20;134;26
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;009;TUGONICA;VATROGASNI DOM;TUGONICA;483;156;156;153;3;14;13;97;29
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MARIJA BISTRICA;010;PODGRAÐE;DRUŠTVENI DOM;PODGRAÐE;276;111;111;107;4;14;6;66;21
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MIHOVLJAN;001;MIHOVLJAN;ZGRADA OPÆINE MIHOVLJAN AMBULANTA OPÆE MEDICINE - PRIZEMLJE;MIHOVLJAN 48;530;226;226;215;11;25;15;112;63
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MIHOVLJAN;002;MIHOVLJAN;ZGRADA OPÆINE MIHOVLJAN PROSTORIJE OPÆINE - I. KAT;MIHOVLJAN 48;418;134;134;130;4;7;6;66;51
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MIHOVLJAN;003;KUZMINEC;KUÆA DAMIRA NOVAK-FILIPA;KUZMINEC 149A;325;116;116;114;2;17;3;51;43
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;MIHOVLJAN;004;GREGUROVEC;OSNOVNA ŠKOLA;GREGUROVEC BB;271;116;116;110;6;15;2;50;43
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;NOVI GOLUBOVEC;001;NOVI GOLUBOVEC;DOM KULTURE;NOVI GOLUBOVEC 35;549;313;313;306;7;20;44;131;111
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;NOVI GOLUBOVEC;002;VELIKA PETROVAGORSKA;DRUŠTVENI DOM;VELIKA PETROVAGORSKA BB;246;119;119;114;5;7;5;40;62
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;001;PETROVSKO I ROVNO;OSNOVNA ŠKOLA ANTUNA MIHANOVIÆA (UÈIONICA BR. 1);PETROVSKO 58 A;265;180;180;173;7;20;16;91;46
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;002;BENKOVEC PETROVSKI;OSNOVNA ŠKOLA ANTUNA MIHANOVIÆA, UÈIONICA BR. 2;PETROVSKO 58 A;100;64;64;61;3;13;5;26;17
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;003;STARA VES PETROVSKA I MALA PAÈETINA;GARAŽA KOZINA KRISTIJANA;STARA VES PETROVSKA 43A;205;127;127;120;7;16;14;63;27
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;004;PODGAJ PETROVSKI;KUÆA POSLONÈEC STJEPANA;PODGAJ PETROVSKI 37;209;154;154;150;4;16;21;93;20
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;005;BREZOVICA PETROVSKA;KUÆA LELJAK RUDOLFA;BREZOVICA PETROVSKA 9;85;56;56;55;1;3;12;28;12
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;006;PRESEKA PETROVSKA;KUÆA PRESEÈKI EDUARDA;PRESEKA PETROVSKA 22;216;159;159;151;8;22;17;80;32
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;007;ŠTUPARJE;KUÆA POSLON-FABRIÈNI LJUBICE;ŠTUPARJE 38;319;230;230;226;4;12;27;121;66
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;008;SVEDRUŽA DONJA;PODRUÈNA ŠKOLA U SLATINI (SJEVERNA UÈ.);SLATINA SVEDRUŠKA 38;116;78;78;76;2;9;8;28;31
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;009;SLATINA SVEDRUŠKA (DIO);KUÆA ORMUŽ BRANKA;SLATINA SVEDRUŠKA 5;193;112;112;109;3;17;9;46;37
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;010;SLATINA SVEDRUŠKA (DIO) I SVEDRUŽA GORNJA;PODRUÈNA ŠKOLA U SLATINI (JUŽNA UÈIONICA);SLATINA SVEDRUŠKA 38;261;160;160;156;4;11;16;107;22
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;PETROVSKO;011;GREDENEC;GARAŽA HRŠAK JOSIPA;GREDENEC 28;71;58;58;57;1;9;15;24;9
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;RADOBOJ;001;GORJANI SUTINSKI;KUÆA DRAGANIÆ IVANA;GORJANI SUTINSKI 73;111;73;73;72;1;7;43;10;12
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;RADOBOJ;002;GORNJA ŠEMNICA;PODRUÈNA ŠKOLA GORNJA ŠEMNICA;GORNJA ŠEMNICA 64;496;347;347;339;8;35;85;121;98
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;RADOBOJ;003;BREGI RADOBOJSKI I KRALJEVEC RADOBOJSKI;PROSTORIJE STARE HIŽE;BREGI RADOBOJSKI 35;382;248;248;242;6;19;31;124;68
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;RADOBOJ;004;KRALJEVEC ŠEMNIÈKI;KUÆA MLAKAR ZDRAVKA;KRALJEVEC ŠEMNIÈKI 28 A;81;67;67;66;1;3;14;38;11
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;RADOBOJ;005;JAZVINE;PODRUÈNA ŠKOLA JAZVINE;JAZVINE 12;308;221;221;206;15;25;41;100;40
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;RADOBOJ;006;OREHOVEC RADOBOJSKI;DRUŠTVENI DOM OREHOVEC RADOBOJSKI;OREHOVEC RADOBOJSKI 8;222;147;147;137;10;13;12;95;17
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;RADOBOJ;007;STRAHINJE RADOBOJSKO;KUÆA DRAGICE FRUK;STRAHINJE RADOBOJSKO 18;48;38;38;38;0;2;13;7;16
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;RADOBOJ;008;RADOBOJ I;ZGRADA OPÆINE RADOBOJ-ZAVIÈAJNA ZBIRKA/PRIZEMLJE;RADOBOJ 34;429;300;300;294;6;18;116;109;51
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;RADOBOJ;009;RADOBOJ II;"OSNOVNA ŠKOLA ""SIDA KOŠUTIÆ"" RADOBOJ";RADOBOJ 21;569;373;373;362;11;27;93;191;51
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;STUBIÈKE TOPLICE;001;STUBIÈKE TOPLICE;VIJEÆNICA OPÆINE STUBIÈKE TOPLICE;VIKTORA ŠIPEKA 16;811;405;405;388;17;49;30;235;74
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;STUBIÈKE TOPLICE;002;STUBIÈKE TOPLICE;OSNOVNA ŠKOLA VLADIMIR BOSNAR STUBIÈKE TOPLICE;STRMEÈKA CESTA 5A;852;478;478;459;19;59;41;285;74
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;STUBIÈKE TOPLICE;003;STRMEC STUBIÈKI;MJESNI DOM STRMEC STUBIÈKI;STRMEC STUBIÈKI 161;611;334;334;321;13;56;26;188;51
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;STUBIÈKE TOPLICE;004;PILA;MJESNI DOM PILA;PILA 16;279;175;175;167;8;20;8;117;22
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;SVETI KRIŽ ZAÈRETJE;001;TEMOVEC;PODRUÈNA ŠKOLA;TEMOVEC BB;168;99;99;98;1;33;8;46;11
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;SVETI KRIŽ ZAÈRETJE;002;ZLEÆ;KUÆA MIHOVILIÆ ŽELJKA;ZLEÆ 1D;120;74;74;73;1;5;7;45;16
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;SVETI KRIŽ ZAÈRETJE;003;ŠTRUCLJEVO;DRUŠTVENI DOM;ŠTRUCLJEVO;281;134;134;131;3;11;12;78;30
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;SVETI KRIŽ ZAÈRETJE;004;PUSTODOL ZAÈRETSKI;KUÆA BLAGEC KRUNOSLAVA;PUSTODOL ZAÈRETSKI 42B;273;121;121;120;1;7;30;53;30
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;SVETI KRIŽ ZAÈRETJE;005;SVETI KRIŽ ZAÈRETJE;ZGRADA OPÆINE;TRG HRVATSKE KRALJICE JELENE 1;767;391;391;380;11;28;101;181;70
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;SVETI KRIŽ ZAÈRETJE;006;DONJA PAÈETINA;KUÆA ZAVRŠKI MLADENA;DONJA PAÈETINA 58;355;146;146;144;2;16;18;60;50
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;SVETI KRIŽ ZAÈRETJE;007;DONJA PAÈETINA;KUÆA DRAGÈEVIÆ JANKA;DONJA PAÈETINA 152;287;98;98;97;1;8;11;54;24
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;SVETI KRIŽ ZAÈRETJE;008;DUKOVEC;KUÆA MARTINJAK STANKA;DUKOVEC 25;187;104;104;103;1;12;22;33;36
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;SVETI KRIŽ ZAÈRETJE;009;ŠVALJKOVEC;KUÆA PETRAÈIJA VIKTORA - RADIONA RIBICA;ŠVALJKOVEC 43A;509;213;213;200;13;29;32;95;44
