Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;NIKOLA DOBROSLAVIÆ;MARKO GILJAÈA;KARLO GJURAŠIÆ;TEREZINA ORLIÆ;BOŽO PETROV;ROKO TOLIÆ
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;006;DUBRAVKA;"DOM ""BUTKOVINA"" DUBRAVKA";DUBRAVKA BB;351;217;217;212;5;92;12;2;6;25;75
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;007;GABRILE;"OŠ ""GABRILE""";GABRILE BB;181;119;119;112;7;57;5;4;4;12;30
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;008;GRUDA;"OSNOVNA ŠKOLA ""GRUDA""";GRUDA BB;740;488;488;465;23;166;56;12;25;92;114
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;009;KOMAJI;"DOM KULTURE "" KOMAJI""";KOMAJI BB;211;126;126;118;8;45;12;3;5;21;32
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;010;LJUTA;"PROSTORIJE NK ""JADRAN"" LJUTA";LJUTA BB;162;95;95;93;2;39;8;1;4;11;30
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;011;MIHANIÆI;"DOM KULTURE ""MIHANIÆI""";MIHANIÆI BB;129;94;94;93;1;41;4;1;2;27;18
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;012;MIKULIÆI;"MJESNI ODBOR ""MIKULIÆI""";MIKULIÆI BB;67;49;49;47;2;15;0;0;2;19;11
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;013;MOÈIÆI;"OSNOVNA ŠKOLA ""MOÈIÆI""";MOÈIÆI BB;348;226;226;220;6;86;18;12;9;34;61
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;014;MOLUNAT;OSNOVNA ŠKOLA MOLUNAT;MOLUNAT BB;191;111;111;107;4;45;3;1;5;20;33
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;015;PLOÈICE;"ZGRADA BIVŠE ÈITAONICE ""PLOÈICE""";PLOÈICE BB;63;37;37;36;1;19;4;0;0;7;6
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;016;POLJICE;"OSNOVNA ŠKOLA  ""POLJICE""";POLJICE BB;59;39;39;38;1;11;1;0;6;13;7
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;017;POPOVIÆI;"OSNOVNA ŠKOLA ""POPOVIÆI""";POPOVIÆI BB;217;140;140;137;3;73;14;0;4;14;32
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;018;PRIDVORJE;"OMLADINSKI DOM ""PRIDVORJE""";PRIDVORJE BB;200;113;113;106;7;51;5;0;3;16;31
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;019;LOVORNO;"OSNOVNA ŠKOLA ""LOVORNO""";LOVORNO BB;176;98;98;96;2;49;5;1;2;14;25
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;020;RADOVÈIÆI;"OSNOVNA ŠKOLA ""RADOVÈIÆI""";RADOVÈIÆI BB;175;117;117;106;11;24;9;0;11;27;35
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;021;STRAVÈA;"OSNOVNA ŠKOLA ""STRAVÈA""";STRAVÈA BB;47;37;37;37;0;31;0;3;0;1;2
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;022;USKOPLJE;"BOÆARSKI DOM ""USKOPLJE"" - USKOPLJE";USKOPLJE BB;111;69;69;67;2;27;6;0;4;10;20
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;023;VITALJINA;"OSNOVNA ŠKOLA ""VITALJINA""";VITALJINA BB;154;82;82;79;3;35;6;1;2;16;19
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;024;VODOVAÐA;"OSNOVNA ŠKOLA ""VODOVAÐA""";VODOVAÐA BB;264;189;189;177;12;91;10;1;5;19;51
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;025;DUBA KONAVOSKA;DOM MLADEŽI DUBA KONAVOSKA;DUBA KONAVOSKA BB;63;53;53;52;1;43;1;0;1;6;1
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;026;KUNA KONAVOSKA;"OSNOVNA ŠKOLA ""KUNA KONAVOSKA""";KUNA KONAVOSKA BB;16;11;11;11;0;5;0;2;0;0;4
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;027;ÐURINIÆI;DOM KULTURE ÐURINIÆI;ÐURINIÆI BB;77;43;43;43;0;24;4;0;1;3;11
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KONAVLE;028;BROTNICE;OSNOVNA ŠKOLA BROTNICE;BROTNICE BB;52;30;30;27;3;20;0;0;0;0;7
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KULA NORINSKA;001;DESNE;KUÆA VEDRANA BEBIÆA;STRIMEN 12.;109;68;68;64;4;33;4;1;0;19;7
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KULA NORINSKA;002;KRVAVAC;"PROSTORIJE  ""DOMA KULTURE""";KRVAVAC,TRG MARIJA NIKOLIÆA KIŠA 1;418;303;303;296;7;139;7;4;5;128;13
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KULA NORINSKA;003;KRVAVAC II.;PROSTORIJE SPORTSKOG CENTRA;KRVAVAC II, NERETVANSKA BB;266;154;154;141;13;78;1;4;4;40;14
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KULA NORINSKA;004;KULA NORINSKA;PROSTORIJE  OSNOVNE ŠKOLE;KULA NORINSKA;271;174;174;162;12;69;4;0;0;82;7
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KULA NORINSKA;005;MOMIÆI;PROSTORIJE OSNOVNE ŠKOLE;MOMIÆI;155;109;109;103;6;53;0;1;1;47;1
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KULA NORINSKA;006;PODRUJNICA;"U PROSTORIJAMA ""MJESNOG DOMA""";PODRUJNICA;108;77;77;77;0;36;1;1;0;37;2
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;KULA NORINSKA;007;NOVA SELA;PROSTORIJE BIVŠE OSNOVNE ŠKOLE;NOVA SELA;63;40;40;39;1;24;0;0;0;13;2
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;LASTOVO;001;UBLE;"PROSTORIJA PARKA PRIRODE ""LASTOVSKO OTOÈJE"", UBLE";TRG SV. PETRA 7;322;190;190;167;23;63;25;0;6;61;12
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;LASTOVO;002;LASTOVO;MALA VIJEÆNICA U ZGRADI NA PJEVORU;LASTOVO, PJEVOR 14;280;175;175;162;13;61;18;3;4;55;21
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;LASTOVO;003;LASTOVO;"PROSTORIJE OŠ ""BRAÆA GLUMAC"" LASTOVO";DOLAC 11;247;131;131;119;12;50;20;2;3;39;5
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;LUMBARDA;001;LUMBARDA;ZGRADA DOMA - OPÆINSKA VIJEÆNICA;LUMBARDA;1110;731;731;703;28;328;107;8;10;183;67
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;001;GOVEÐARI;PROSTORIJE MO  GOVEÐARI U PROSTORU OŠ GOVEÐARI;GOVEÐARI BB;172;129;129;127;2;89;8;2;5;11;12
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;002;POLAÈE;PROSTORIJE TZO MLJET U POLAÈAMA;POLAÈE BB;118;80;80;74;6;53;4;0;4;4;9
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;003;BLATO;"PROSTORIJE  ""STARE ŠKOLE BLATO"" U BLATU";BLATO BB;98;65;65;65;0;53;1;0;1;2;8
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;004;BABINO POLJE-ZABREŽJE;DOM KULTURE  ZABREŽJE U BABINOM POLJU;BABINO POLJE - ZABREŽJE BB;149;108;108;104;4;40;4;1;10;20;29
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;005;BABINO POLJE-ZADUBLJE;"ZGRADA ""STARA OPÆINA"" U BABINOM POLJU";BABINO POLJE-ZADUBLJE BB;131;89;89;84;5;39;7;1;2;13;22
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;006;SOBRA;"PROSTORIJE MJESNOG ODBORA SOBRA ""STARO SKLADIŠTE"" U SOBRI";SOBRA BB;106;81;81;75;6;46;3;0;5;8;13
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;007;PROŽURA;PROSTORIJE AMBULANTE U PROŽURI;PROŽURA BB;81;59;59;56;3;18;3;0;1;7;27
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;008;MARANOVIÆI;DRUŠTVENE PROSTORIJE  U MARANOVIÆIMA;MARANOVIÆI BB;97;69;69;69;0;58;0;0;3;6;2
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;MLJET;009;KORITA;PROSTORIJE AMBULANTE U KORITIMA;KORITA BB;142;100;100;97;3;55;8;1;11;9;13
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;001;TRSTENIK;PROSTORIJE MJESNOG ODBORA;TRSTENIK BB;94;58;58;57;1;28;4;3;4;14;4
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;002;PIJAVIÈINO;MJESNI ODBOR  PIJAVIÈINO - HRVATSKA ÈIT.;PIJAVIÈINO BB;87;56;56;50;6;23;3;0;3;13;8
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;003;POTOMJE;PROSTORIJE DOMA POTOMJE;POTOMJE BB;187;142;142;131;11;53;6;2;13;33;24
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;004;DONJA BANDA;"PROSTORIJE PZ ""POSTUP"" DONJA BANDA";DONJA BANDA BB;146;86;86;80;6;32;13;0;6;11;18
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;005;KUNA;PROSTORIJE OŠ KUNA;KUNA BB;192;156;156;150;6;69;17;0;7;27;30
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;006;OSKORUŠNO;PROSTORIJE OŠ OSKORUŠNO;OSKORUŠNO BB;94;64;64;62;2;22;7;0;5;21;7
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;007;OREBIÆ;DJEÈJI VRTIÆ OREBIÆ;BANA J. JELAÈIÆA 8;977;512;512;494;18;258;55;2;36;105;38
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;008;OREBIÆ;ZGRADA OPÆINE;OBALA POMORACA 24;1287;703;703;674;29;283;102;6;57;167;59
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;009;KUÆIŠTE;PROSTORIJE ŠKOLE KUÆIŠTE;KUÆIŠTE;247;140;140;135;5;41;47;1;3;33;10
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;010;VIGANJ;HRVATSKI DOM VIGANJ;VIGANJ;265;166;166;159;7;72;34;0;4;44;5
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;OREBIÆ;011;LOVIŠTE;PROSTORIJE DOMA;LOVIŠTE;207;122;122;110;12;57;17;0;4;24;8
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;POJEZERJE;001;OTRIÆI;"KULTURNO-SORTSKI CENTAR ""DOCI""";OTRIÆ-SEOCI;287;175;175;162;13;115;4;2;2;31;8
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;POJEZERJE;002;SEOCI;"KULTURNO-SPORTSKI CENTAR ""DOCI""";OTRIÆ-SEOCI;310;152;152;147;5;102;1;0;0;40;4
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;POJEZERJE;003;KOBILJAÈA;PROSTORIJE OBITELJSKE KUÆE SREÆKA ŽDERIÆA;KOBILJAÈA 6;193;139;139;137;2;42;6;4;5;61;19
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;POJEZERJE;004;MALI PROLOG;OBITELJSKA KUÆA  NEVENA DOMINIKOVIÆA;MALI PROLOG;29;16;16;16;0;8;0;0;0;5;3
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;POJEZERJE;005;POZLA GORA;DOM KULTURE;POZLA GORA;51;44;44;44;0;26;1;3;0;8;6
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;001;BLACE;PROSTORIJE PODRUÈNE OSNOVNE ŠKOLE;BLACE;270;172;172;168;4;86;6;2;1;54;19
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;002;DUBOKA;DOM U DUBOKOJ;DUBOKA;113;52;52;50;2;33;2;1;1;7;6
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;003;KLEK;PROSTORIJE TURISTIÈKOG NASELJA KLEK;KLEK, TRG PALMI 1 A;214;113;113;108;5;52;6;5;0;33;12
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;004;KOMARNA;PROSTORIJE VILE BILI IVE JERKOVIÆA;KOMARNA, KOMARNA 79;176;102;102;102;0;66;2;0;0;22;12
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;005;MIHALJ;PROSTORIJE BIVŠE TRGOVINE   U MIHALJU;MIHALJ;191;116;116;109;7;75;8;0;0;14;12
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;006;OTOK;PROSTORIJE STAMBENOG OBJEKTA TONÆE PALINIÆA POK.STANKE U OTOKU;OTOK;64;52;52;51;1;40;1;0;1;5;4
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;007;PODGRADINA;OPÆINSKA VIJEÆNICA;PODGRADINA;208;114;114;104;10;59;1;0;0;31;13
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;008;TRN;PROSTORIJE  MJESNOG ODBORA U TRNU;TRN;134;93;93;91;2;57;2;2;1;20;9
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;009;TUŠTEVAC;MJESNI ODBOR;TUŠTEVAC;124;81;81;74;7;62;0;0;0;10;2
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SLIVNO;010;VLAKA;PROSTORIJE MJESNOG ODBORA NA VLACI;VLAKA, A. STEPINCA 102/1;239;165;165;155;10;115;1;3;1;22;13
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SMOKVICA;001;SMOKVICA;SPORTSKA DVORANA U SMOKVICI;SMOKVICA;428;324;324;314;10;151;15;2;2;49;95
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;SMOKVICA;002;SMOKVICA;RECEPCIJA HOTELA AMINESS LUME U BRNI;BRNA;390;287;287;278;9;117;27;1;9;39;85
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;001;BRIJESTA;DRUŠTVENI DOM BRIJESTA;BRIJESTA BB;59;38;38;38;0;32;0;0;0;6;0
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;002;HODILJE;ZGRADA OSNOVNE ŠKOLE  HODILJE;HODILJE 115;361;156;156;144;12;71;9;3;6;26;29
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;003;MALI STON;VILLA KORUNA KONFERENCIJSKA DVORANA;MALI STON;126;75;75;72;3;27;5;3;5;14;18
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;004;PONIKVE;ZGRADA OSNOVNE ŠKOLE;SPARAGOVIÆI BB;323;190;190;174;16;71;8;0;22;52;21
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;005;PUTNIKOVIÆ;ZGRADA POLJOPRIVREDNE ZADRUGE;PUTNIKOVIÆ;310;178;178;174;4;87;4;0;8;41;34
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;006;STON;DOM KULTURE;STON  BB;608;325;325;311;14;121;16;3;26;76;69
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;007;ZAMASLINA;OBJEKT ANTUNA ŠTRBINIÆA;ZAMASLINA 10;111;67;67;67;0;9;2;0;11;18;27
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;STON;008;ŽULJANA;ZGRADA OŠ PROSTORIJE  MO ŽULJANA;ŽULJANA BB;229;134;134;124;10;37;4;0;4;55;24
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;TRPANJ;001;TRPANJ;"PROSTORIJE OSNOVNE ŠKOLE ""TRPANJ""";TRPANJ,KRALJA TOMISLAVA 41;564;403;403;380;23;207;19;3;2;82;67
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;TRPANJ;002;GORNJA VRUÆICA;PROSTORIJE DOMA  KULTURE GORNJA VRUÆICA;GORNJA VRUÆICA;38;33;33;30;3;14;0;0;2;6;8
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;TRPANJ;003;DONJA VRUÆICA;PROSTORIJE DOMA KULTURE  DONJA VRUÆICA;DONJA VRUÆICA;20;14;14;14;0;8;1;0;0;4;1
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;TRPANJ;004;DUBA PELJEŠKA;PROSTORIJE DOMA KULTURE U DUBI PELJEŠKOJ;DUBA PELJEŠKA BB;45;20;20;18;2;5;0;0;1;12;0
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;VELA LUKA;001;VELA LUKA;"HOTEL ""JADRAN""";OBALA IV. BR. 21;884;543;543;509;34;202;46;4;7;131;119
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;VELA LUKA;002;VELA LUKA;CENTAR ZA KULTURU;ULICA 26 BROJ 2;843;514;514;476;38;208;48;4;6;113;97
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;VELA LUKA;003;VELA LUKA;OSNOVNA ŠKOLA;OBALA 3 BROJ 1;692;408;408;377;31;161;34;3;9;89;81
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;VELA LUKA;004;VELA LUKA;KONOBA DAVORIN;ULICA 1 BROJ 12;1130;656;656;619;37;264;51;5;12;143;144
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ZAŽABLJE;001;BIJELI VIR;OSNOVNA ŠKOLA;BIJELI VIR;242;103;103;98;5;59;1;1;0;36;1
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ZAŽABLJE;002;MLINIŠTE;DRUŠTVENI DOM MLINIŠTE;MLINIŠTE BB;263;151;151;147;4;99;1;0;7;33;7
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ZAŽABLJE;003;MISLINA;KUÆA IVE GLAVINIÆA (ÈADRE) BB;MISLINA;43;20;20;19;1;12;0;1;1;4;1
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ZAŽABLJE;004;BADŽULA;KUÆA DRAGANA CRNÈEVIÆA (BEKLIJE)BADŽULA;BADŽULA;53;35;35;35;0;15;0;0;1;19;0
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ŽUPA DUBROVAÈKA;001;MARTINOVIÆI;"OSNOVNA ŠKOLA ""MARTINOVIÆI""";MARTINOVIÆI 50;554;351;351;334;17;147;17;4;19;59;88
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ŽUPA DUBROVAÈKA;002;DOM NA DONJEM BRGATU;DONJI BRGAT;PUT  KRALJA TOMISLAVA 32;263;199;199;193;6;121;5;1;10;23;33
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ŽUPA DUBROVAÈKA;003;PETRAÈA;"NOVA OSNOVNA ŠKOLA ""ŽUPA DUBROVAÈKA"" U PETRAÈI";DR. ANTE STARÈEVIÆA 84;1648;902;902;874;28;341;44;24;75;157;233
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ŽUPA DUBROVAÈKA;004;ÈIBAÈA;PROSTORIJE  NK ŽUPA DUBROVAÈKA U  ÈIBAÈI;PUT DR. ANTE STARÈEVIÆA 98;1781;902;901;883;18;392;39;32;80;169;171
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ŽUPA DUBROVAÈKA;005;SREBRENO;PROSTORIJE OPÆINE ŽUPA DUBROVAÈKA U SREBRENOM;VUKOVARSKA 48;1822;939;938;916;22;342;70;44;57;179;224
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ŽUPA DUBROVAÈKA;006;PLAT;"PROSTORIJE HOTELA ""PLAT"" U PLATU";PLAT 47;540;383;383;376;7;155;26;14;14;72;95
19;DUBROVAÈKO-NERETVANSKA ŽUPANIJA;opæina;ŽUPA DUBROVAÈKA;007;MLINI;"PROSTORIJE HOTELA ""ASTAREA""U MLINIMA";ŠETALIŠTE MARKA MAROJICE 40;915;492;492;479;13;183;39;30;30;79;118
