Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IVAN CELJAK;DANIEL BERDAIS
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;014;STRUŽEC;DOM STRUŽEC;STRUŽEC;527;300;300;285;15;230;55
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;015;DONJA JELENSKA;DOM U DONJOJ JELENJSKOJ;DONJA JELENSKA;57;42;42;40;2;27;13
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;016;POTOK;ŠKOLA POTOK;POTOK;405;215;215;208;7;163;45
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;017;POTOK;DOM POTOK;POTOK;270;164;164;161;3;120;41
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;POPOVAÈA;018;DONJA VLAHINIÈKA;DOM DVD-A;DONJA VLAHINIÈKA;312;178;178;168;10;105;63
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;001;SISAK;PROSTORIJE GRADSKE ÈETVRTI CENTAR;IVANA MEŠTROVIÆA 32;895;453;453;436;17;260;176
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;002;SISAK;PROSTORIJE DRUŠTVA GLUHIH I NAGLUHIH GRADA SISKA;TRG 22. LIPNJA 4B;499;261;261;249;12;148;101
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;003;SISAK;OSNOVNA ŠKOLA 22. LIPNJA;FRANJE LOVRIÆA 27 (UMJESTO U ZGRADI SISAÈKO-MOSLAVAÈKE ŽUPANIJE, S. I A. RADIÆA 36);481;235;235;229;6;143;86
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;004;SISAK;OSNOVNA ŠKOLA 22. LIPNJA;FRANJE LOVRIÆA 27 (UMJESTO U ZGRADI SISAÈKO-MOSLAVAÈKE ŽUPANIJE, S. I A. RADIÆA 36);439;230;230;221;9;144;77
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;005;SISAK;NARODNA KNJIŽNICA I ÈITAONICA VLADO GOTOVAC SISAK;RIMSKA 27;533;279;279;269;10;196;73
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;006;SISAK;PROSTORIJE GRADSKOG DRUŠTVA CRVENOG KRIŽA SISAK;ULICA KRALJA TOMISLAVA 18;639;376;376;372;4;250;122
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;007;SISAK;PROSTORIJE ZAVODA ZA ZAPOŠLJAVANJE;UL. KRALJA TOMISLAVA 13;538;294;294;281;13;175;106
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;008;SISAK;PROSTORIJE GRADSKE ÈETVRTI ZELENI BRIJEG;FRANA KRŠINIÆA 19;551;263;263;254;9;149;105
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;009;SISAK;DJEÈJI VRTIÆ PÈELICA;ULICA ANTUNA CUVAJA 3;910;409;409;397;12;232;165
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;010;SISAK;PROSTORIJE BIVŠE POSLOVNICE ALIANZ OSIGURANJE;MARIJANA CELJAKA 79;1217;552;552;549;3;410;139
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;011;SISAK;OSNOVNA ŠKOLA BRAÆA RIBAR SISAK;ZAGREBAÈKA 8A;535;286;286;279;7;159;120
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;012;SISAK;OSNOVNA ŠKOLA BRAÆA RIBAR SISAK;ZAGREBAÈKA 8A;749;321;321;310;11;183;127
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;013;SISAK;PROSTORIJE GRADSKE ÈETVRTI ZELENI BRIJEG;FRANA KRŠINIÆA 19;630;277;277;272;5;158;114
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;014;SISAK;OSNOVNA ŠKOLA BRAÆA RIBAR SISAK;ZAGREBAÈKA 8A;659;324;324;317;7;188;129
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;015;SISAK;PROSTORIJE AMBULANTE;FERDE HEFELEA 10;807;389;389;374;15;242;132
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;016;SISAK;PROSTORIJE DRUŠTVENOG DOMA VIKTOROVAC;PERIVOJ VIKTOROVAC BB;650;292;292;288;4;169;119
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;017;SISAK;ŠATOR NA JAVNOJ POVRŠINI PREKO PUTA BIVŠE STRUKOVNE ŠKOLE SISAK;LAÐARSKA 1;604;343;343;335;8;203;132
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;018;SISAK;ŠATOR NA JAVNOJ POVRŠINI PREKO PUTA BIVŠE STRUKOVNE ŠKOLE SISAK;LAÐARSKA 1;740;353;353;338;15;223;115
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;019;SISAK;DJEÈJI VRTIÆ TRATINÈICA;NIKOLE ŠUBIÆA ZRINSKOG 23;733;419;419;406;13;257;149
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;020;SISAK;RC ZIBEL - STARI OBJEKT (STOLNOTENISKA DVORANA);ULAZ IZ CESARÈEVE ULICE;477;235;235;230;5;153;77
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;021;SISAK;OSNOVNA ŠKOLA VIKTOROVAC SISAK;ALEJA NARODNIH HEROJA 2;1148;551;550;535;15;287;248
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;022;SISAK;OSNOVNA ŠKOLA VIKTOROVAC SISAK;ALEJA NARODNIH HEROJA 2;1246;646;645;620;25;305;315
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;023;SISAK;PROSTORIJE AMBULANTE;AUGUSTA CESARCA 109B;875;441;441;425;16;231;194
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;024;SISAK;ŠATOR NA PARKIRALIŠTU ISPRED PROSTORIJA GRADSKE ÈETVRTI GALDOVO;GALDOVAÈKA ULICA 6;1235;558;558;537;21;392;145
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;025;SISAK;OSNOVNA ŠKOLA GALDOVO (U PREDVORJU ŠKOLE);ULICA BREZOVIÈKOG ODREDA 1;884;393;393;384;9;308;76
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;026;SISAK;OSNOVNA ŠKOLA GALDOVO (ŠKOLSKA DVORANA);ULICA BREZOVIÈKOG ODREDA 1;765;348;348;340;8;259;81
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;027;SISAK;DRUŠTVENI DOM ( PROSTORIJE PRIJAŠNJEG MO GALDOVO KAPTOLSKO);VLADIMIRA LOGOMERCA 27;1493;727;727;709;18;462;247
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;028;SISAK;PROSTORIJE  PRIJAŠNJEG MO CAPRAG;ANDRIJE HEBRANGA 25;1359;615;615;585;30;293;292
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;029;SISAK;PROSTORIJE PRIJAŠNJEG MO IVAN BUIÆ;NINE MARAKOVIÆA 4;305;119;119;109;10;53;56
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;030;SISAK;PROSTORIJE DJ. VRTIÆA MASLAÈAK;HRVATSKOG NARODNOG PREPORODA 33;762;332;332;321;11;150;171
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;031;SISAK;NARODNA KNJIŽNICA I ÈITAONICA VLADO GOTOVAC - ODJEL CAPRAG;TRG HRVATSKE DRŽAVNOSTI 1;753;330;329;312;17;158;154
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;032;SISAK;OSNOVNA ŠKOLA BRAÆA BOBETKO SISAK;MARIJANA CVETKOVIÆA 2;928;412;412;397;15;201;196
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;033;SISAK;PROSTORIJE PRIJAŠNJEG MO IVAN BUIÆ;NINE MARAKOVIÆA 4;313;134;134;123;11;70;53
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;034;SISAK;DOM INA RAFINERIJE NAFTE SISAK;ANTE KOVAÈIÆA 1;337;134;134;128;6;78;50
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;035;SISAK;DRUŠTVENI DOM, PROSTORIJE GRADSKE ÈETVRTI CAPRAG ( PRIJAŠNJI MO EUGEN KVATERNIK);LASINJSKA UL 15;1313;606;606;585;21;319;266
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;036;SISAK;MO CRNAC U ZGRADI BIVŠE PODRUÈNE ŠKOLE BRAÆA BOBETKO;ULICA BRAÆE BOBETKO;202;119;119;115;4;101;14
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;037;NOVO SELO;PROSTORIJE U VATROGASNOM DOMU DVD-A MLADOST U NOVOM SELU;NOVOSELSKA ULICA 50;504;219;219;209;10;150;59
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;038;CAPRAŠKE POLJANE;ROMSKA KUÆA;CAPRAŠKE POLJANE 54;353;218;218;211;7;195;16
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;039;NOVO PRAÈNO;PROSTORIJE OŠ I.K. SAKCINSKI;NOVO PRAÈNO;322;154;154;151;3;108;43
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;040;HRASTELNICA;OSNOVNA ŠKOLA GALDOVO - PODRUÈNA ŠKOLA HRASTELNICA;HRASTELNICA 85 (UMJESTO U DRUŠTVENOM DOMU MO HRASTELNICA, HRASTELNICA 85A);691;341;341;337;4;260;77
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;041;PALANJEK;DRUŠTVENI DOM MO PALANJEK;PALANJEK BB;253;179;179;178;1;155;23
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;042;PRELOŠÆICA;PROSTORIJE DVD PRELOŠÆICA;PRELOŠÆICA;416;200;200;199;1;156;43
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;043;BUKOVSKO;DRUŠTVENI DOM BUKOVSKO;BUKOVSKO 10;65;26;26;24;2;23;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;044;KOMAREVO;DRUŠTVENI DOM MO KOMAREVO;GORNJE KOMAREVO 4;629;250;250;242;8;194;48
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;045;BLINJSKI KUT;DRUŠTVENI DOM BLINJSKI KUT;BLINJSKI KUT 34 A;240;89;89;84;5;39;45
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;046;MADŽARI;DRUŠTVENI DOM MO MADŽARI-LETOVANCI;MADŽARI 30 A;203;127;127;126;1;69;57
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;047;KLOBUÈAK;ŠATOR NA POVRŠINI POKRAJ PROSTORIJA MO KLOBUÈAK - KONTEJNER;KLOBUÈAK BB;58;26;26;25;1;16;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;048;LETOVANCI;DRUŠTVENI DOM ( PROSTORIJE PRIJAŠNJEG MO LETOVANCI);LETOVANCI;46;35;35;33;2;27;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;049;ODRA;DRUŠTVENI DOM MO ODRA;ODRA SISAÈKA 38;638;312;312;305;7;240;65
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;050;ŽABNO;PROSTORIJE OSNOVNE ŠKOLE BRAÆA RIBAR SISAK;PODRUÈNA ŠKOLA ŽABNO;396;203;203;196;7;158;38
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;051;GREDA;"PROSTORIJE O.Š. ""SELA"", PODRUÈNI ODJEL GREDA";GREDA;727;338;338;330;8;249;81
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;052;JAZVENIK;"DRUŠTVENI DOM ""ÈEŠKA BESEDA""";JAZVENIK 7B;111;80;80;78;2;69;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;053;SELA;OSNOVNA ŠKOLA SELA;SELA;798;371;371;358;13;296;62
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;054;STARA DRENÈINA;NOVI VATROGASNI DOM DVD-A STARA DRENÈINA;STARA DRENÈINA 59A (UMJESTO U DRUŠTVENOM DOMU STARA DRENÈINA, STARA DRENÈINA BB);177;107;107;106;1;88;18
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;055;STARO PRAÈNO;DRUŠTVENI DOM STARO PRAÈNO;STARO PRAÈNO 10;737;360;360;349;11;243;106
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;056;STUPNO;DRUŠTVENI DOM MO STUPNO;STUPNO 58;403;206;206;201;5;158;43
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;057;VUROT;DRUŠTVENI DOM MO VUROT;VUROT 33A;102;35;35;32;3;19;13
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;058;BUDAŠEVO;OSNOVNA ŠKOLA BUDAŠEVO - TOPOLOVAC - GUŠÆE;TRG MARIJANA ŠOKÈEVIÆA 1 (UMJESTO U DRUŠTVENOM DOMU MO BUDAŠEVO, TRG MARIJANA ŠOKÈEVIÆA 3);1320;585;585;573;12;449;124
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;059;NOVO SELO PALANJEÈKO;DRUŠTVENI DOM MO NOVO SELO PALANJEÈKO;NOVO SELO PALANJEÈKO BB;463;195;195;188;7;142;46
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;060;TOPOLOVAC;PROSTORIJE NOGOMETNOG KLUBA TŠK, TOPOLOVAC;TRG HRVATSKIH DRAGOVOLJACA 1A (UMJESTO U DRUŠTVENOM DOMU MO TOPOLOVAC, TRG HRVATSKIH DRAGOVOLJACA 1);739;347;347;334;13;260;74
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;061;LUKAVEC POSAVSKI;DRUŠTVENI DOM MO LUKAVEC POSAVSKI;LUKAVEC POSAVSKI 1C;100;53;53;53;0;43;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;062;GUŠÆE;MO GUŠÆE U ZGRADI DVD GUŠÆE;GUŠÆE 105;292;129;129;127;2;99;28
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;063;ÈIGOÆ;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA ÈIGOÆ;ÈIGOÆ 16;62;27;27;26;1;21;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;064;KRATEÈKO;DRUŠTVENI DOM MO KRATEÈKO;KRATEÈKO 96;149;79;79;78;1;62;16
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;065;MUŽILOVÈICA;VATROGASNI DOM MUŽILOVÈICA;MUŽILOVÈICA;67;38;38;38;0;30;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;066;SUVOJ;DRUŠTVENI DOM (PROSTORIJE PRIJAŠNJEG MO SUVOJ);SUVOJ;27;20;20;19;1;15;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;067;LONJA;PROSTORIJE DVD-A LONJA;LONJA BB;84;30;30;29;1;22;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;068;SVINJIÈKO;PROSTORIJE MO VELIKO SVINJIÈKO U PODRUÈNOJ ŠKOLI;VELIKO SVINJIÈKO 105;190;92;92;91;1;76;15
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;SISAK;069;STARO SELO;KUÆA MILOŠA ÐUKIÆA;STARO SELO 61;108;42;42;42;0;13;29
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DONJI KUKURUZARI;001;DONJA VELEŠNJA;PROSTOR ISPRED STARE ŠKOLE;DONJA VELEŠNJA;258;88;88;88;0;79;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DONJI KUKURUZARI;002;DONJI KUKURUZARI;ZGRADA OPÆINE (DVORANA ZA UDRUGE);ULICA DON ANTE LIZATOVIÆA 2;416;163;163;155;8;152;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DONJI KUKURUZARI;003;MEÈENÈANI;OSNOVNA ŠKOLA KATARINA ZRINSKA;MEÈENÈANI BB;203;58;58;58;0;51;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DONJI KUKURUZARI;004;BOROJEVIÆI;DRUŠTVENI DOM BOROJEVIÆI;BOROJEVIÆI 30 B;192;75;75;68;7;65;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DONJI KUKURUZARI;005;UMETIÆ;PRIVATAN OBJEKT JOVANA PRERADOVIÆA;UMETIÆ 15;173;69;69;65;4;56;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;001;DVOR;DOM KULTURE;TRG BANA J. JELAÈIÆA 9;627;62;62;60;2;37;23
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;002;DVOR;OSNOVNA ŠKOLA;ANTE BRUNE BUŠIÆA 5;508;57;57;54;3;29;25
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;003;MATIJEVIÆI;ZGRADA KOMUNALCA DVOR D.O.O.;ULICA EUGEN KVATERNIKA 3;578;35;35;33;2;22;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;004;DIVUŠA;PROSTORIJE VATROGASNOG DOMA;DIVUŠA;487;110;110;108;2;101;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;005;GORNJA ORAOVICA;ZGRADA ŠKOLE;GORNJA ORAOVICA BB;164;13;13;13;0;2;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;006;GORNJI JAVORANJ;PROSTORIJE MJESNOG ODBORA;GORNJI JAVORANJ BB;278;16;16;15;1;6;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;007;ZRINSKI BRÐANI;DRUŠTVENI DOM;ZRINSKI BRÐANI BB;240;19;19;18;1;14;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;008;GRMUŠANI;PROSTORIJE DRUŠTVENOG DOMA;GRMUŠANI BB;351;33;33;33;0;21;12
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;009;RUJEVAC;DRUŠTVENE PROSTORIJE U ZGRADI ŠKOLE;RUJEVAC;195;30;30;28;2;14;14
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;010;DONJI ŽIROVAC;PROSTORIJE DRUŠTVENOG DOMA;DONJI ŽIROVAC BB;111;7;7;7;0;3;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;011;DONJA STUPNICA;PROSTORIJE DRUŠTVENOG DOMA;DONJA STUPNICA;177;24;24;23;1;19;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;DVOR;012;STRUGA BANSKA;PROSTORIJE DRUŠTVENOG DOMA;STRUGA BANSKA;190;58;58;58;0;55;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;GVOZD;001;VRGINMOST;ZGRADA OPÆINE GVOZD - VIJEÆNICA;TRG DR.FRANJE TUÐMANA 6;947;190;190;185;5;167;18
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;GVOZD;002;VRGINMOST;OSNOVNA ŠKOLA GVOZD;KRALJA PETRA SVAÈIÆA 21;358;32;32;32;0;20;12
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;GVOZD;003;CREVARSKA STRANA;"ZGRADA BIVŠEG RESTORANA ""ANTONIO""";CREVARSKA STRANA 56A;131;24;24;24;0;20;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;GVOZD;004;BOVIÆ;DRUŠTVENI DOM BOVIÆ;BOVIÆ 110C;431;33;33;33;0;20;13
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;GVOZD;005;GORNJA ÈEMERNICA;"POSLOVNA ZGRADA ""REFUL MARINE"" D.O.O.";GORNJA ÈEMERNICA 6;283;9;9;9;0;7;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;GVOZD;006;SLAVSKO POLJE;DRUŠTVENI DOM;SLAVSKO POLJE 94;253;9;9;9;0;9;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;GVOZD;007;DUGO SELO LASINJSKO;BIVŠA OSNOVNA ŠKOLA;DUGO SELO LASINJSKO 50;208;6;6;6;0;4;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;HRVATSKA DUBICA;001;HRVATSKA DUBICA;ZGRADA HRVATSKOG DOMA;VJEKOSLAVA VENKA 3;537;125;125;119;6;87;32
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;HRVATSKA DUBICA;002;HRVATSKA DUBICA;ZGRADA NA NOGOMETNOM IGRALIŠTU;PETRA ZRINSKOG 36 B;239;59;59;59;0;52;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;HRVATSKA DUBICA;003;BAÆIN;HRVATSKI DOM BAÆIN;BAÆIN 88;161;78;78;78;0;72;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;HRVATSKA DUBICA;004;CEROVLJANI;HRVATSKI DOM CEROVLJANI;CEROVLJANI 104 A;153;39;39;39;0;35;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;HRVATSKA DUBICA;005;SLABINJA;OBITELJSKA KUÆA IVE UDOVIÈIÆA;SLABINJA 96 B;271;55;55;55;0;52;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;HRVATSKA DUBICA;006;ŽIVAJA;ZGRADA HRVATSKOG DOMA;ŽIVAJA 147;223;37;37;37;0;28;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;JASENOVAC;001;JASENOVAC;PRIZEMNE PROSTORIJE OPÆINE JASENOVAC (PROSTORIJE UDRUGE UMIROVLJENIKA);TRG KRALJA PETRA SVAÈIÆA 19;511;214;214;202;12;156;46
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;JASENOVAC;002;KOŠUTARICA;PUÈKI DOM;KOŠUTARICA;213;97;97;95;2;86;9
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;JASENOVAC;003;MLAKA;PODRUÈNA ŠKOLA MLAKA;MLAKA;37;4;4;4;0;1;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;JASENOVAC;004;UŠTICA;PODRUÈNA ŠKOLA UŠTICA;UŠTICA;128;52;52;48;4;41;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;JASENOVAC;005;VIŠNJICA;PUÈKI DOM VIŠNJICA;VIŠNJICA;124;71;71;70;1;69;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;JASENOVAC;006;TANAC;PUÈKI DOM TANAC;TANAC;86;62;62;57;5;55;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;JASENOVAC;007;DRENOV BOK;VATROGASNI DOM;DRENOV BOK;75;46;46;44;2;37;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;JASENOVAC;008;KRAPJE;VATROGASNI DOM;KRAPJE;105;52;52;50;2;45;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;JASENOVAC;009;PUSKA;VATROGASNI DOM;PUSKA;244;80;80;79;1;69;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;JASENOVAC;010;TREBEŽ;PUÈKI DOM TREBEŽ;TREBEŽ;44;14;14;14;0;14;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;001;LETOVANIÆ;ZGRADA DVD LETOVANIÆ;LETOVANIÆ BB;474;242;242;235;7;200;35
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;002;STARI BROD;HRVATSKI DOM STARI BROD;STARI BROD;152;74;74;73;1;53;20
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;003;STARI FARKAŠIÆ;HRVATSKI DOM STARI FARKAŠIÆ;STARI FARKAŠIÆ;99;57;57;57;0;38;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;004;DUŽICA;HRVATSKI DOM DUŽICA;DUŽICA;312;149;149;146;3;117;29
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;005;PETROVEC;"PROSTORIJE SPORTSKE UDRUGE ""STJEPAN GRGAC""";PETROVEC BB;286;147;147;145;2;115;30
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;006;ŽAŽINA;VATROGASNI DOM;ŽAŽINA;264;124;124;123;1;86;37
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;007;POLJANA LEKENIÈKA;HRVATSKI DOM;POLJANA LEKENIÈKA;221;132;132;130;2;106;24
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;008;GORNJI VUKOJEVAC;HRVATSKI DOM;GORNJI VUKOJEVAC;57;30;30;29;1;19;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;009;DONJI VUKOJEVAC;DRUŠTVENI DOM JOSIP BIREK;DONJI VUKOJEVAC;428;173;173;167;6;106;61
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;010;BREŽANE LEKENIÈKE;LOVAÈKA KUÆA;BREŽANE LEKENIÈKE;236;101;101;94;7;51;43
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;011;CERJE LETOVANIÈKO;PODRUÈNA ŠKOLA;CERJE LETOVANIÈKO;60;22;22;18;4;13;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;012;LEKENIK;ZGRADA OPÆINE LEKENIK;ZAGREBAÈKA 44;709;408;408;379;29;266;113
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;013;LEKENIK;SLUŽBENE PROSTORIJE OTP - BANKE;ZAGREBAÈKA 77A;820;445;445;423;22;271;152
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;opæina;LEKENIK;014;PEŠÆENICA;VATROGASNI DOM PEŠÆENICA;PEŠÆENICA;732;319;319;300;19;191;109
