Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IGOR ANDROVIĆ;DANIEL SPAJIĆ;MATE VUKUŠIĆ
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;015;PITOMAČA;PRIVATNA KUĆA MARINE JAKUPEC;VLADIMIRA NAZORA 85 A;432;108;108;105;3;55;28;22
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;016;PITOMAČA;OSNOVNA ŠKOLA PETRA PRERADOVIĆA;TRG KRALJA TOMISLAVA 9;485;212;212;202;10;128;23;51
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;017;PITOMAČA;DRUŠTVENI DOM-GREDA;MIHOVILA PAVLEKA MIŠKINE 55 A;526;245;245;236;9;143;40;53
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;018;PITOMAČA;PRIVATNA KUĆA MARIJE DENT;PITOMAČA, LJUDEVITA GAJA 77;512;258;258;248;10;141;33;74
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;019;PITOMAČA;PRIVATNA KUĆA JELE MILANOVIĆ;DRAVSKA 104;361;180;180;167;13;85;32;50
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;020;PITOMAČA;PRIVATNA KUĆA ĐURE FONJAKA;DRAVSKA 247 F;359;123;123;120;3;65;19;36
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;PITOMAČA;021;KRIŽNICA;DRUŠTVENI DOM;KRIŽNICA 30;105;57;57;56;1;43;7;6
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;001;SOPJE;PROSTORIJE MJESNOG DOMA;KRALJA TOMISLAVA 20;442;230;230;225;5;182;18;25
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;002;GRABIĆ;PROSTORIJE MJESNOG DOMA;GRABIĆ 41;94;53;53;53;0;44;2;7
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;003;NOVA ŠAROVKA;PROSTORIJE MJESNOG DOMA NOVA ŠAROVKA;DRAVSKA 26 A;206;131;131;129;2;106;6;17
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;004;GORNJE PREDRIJEVO;PROSTORIJE MJESNOG DOMA;GORNJE PREDRIJEVO 33;68;24;24;24;0;17;3;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;005;JOSIPOVO;PROSTORIJE MJESNOG DOMA;JOSIPOVO 57;210;125;125;122;3;105;11;6
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;006;KAPINCI;PROSTORIJE MJESNOG DOMA;KRALJA TOMISLAVA 79;133;64;64;61;3;41;1;19
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;007;ŠPANAT;PROSTORIJE MJESNOG DOMA;GLAVNA 82;136;30;30;30;0;24;3;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;008;VAŠKA;PROSTORIJE MJESNOG DOMA;MATIJE GUPCA 2;224;118;118;116;2;97;11;8
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SOPJE;009;NOVAKI;PROSTORIJE MJESNOG DOMA;MATIJE GUPCA 10;283;113;113;109;4;75;12;22
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;001;BOROVA;HRVATSKI DOM;TRG KRALJA TOMISLAVA 9;463;152;152;146;6;106;21;19
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;002;BUDANICA;DRUŠTVENI DOM MJESNOG ODBORA;BUDANICA 64;78;27;27;25;2;14;4;7
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;003;CABUNA;DRUŠTVENI DOM MJESNOG ODBORA;ALOJZIJA STEPINCA 1;732;260;260;247;13;147;45;55
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;004;GAĆIŠTE;DRUŠTVENI DOM MJESNOG ODBORA;GAĆIŠTE 101;159;54;54;50;4;32;5;13
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;005;JUGOVO POLJE;DRUŠTVENI DOM MJESNOG ODBORA;TRG SV.PETRA I PAVLA 18;238;103;103;97;6;65;18;14
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;006;LEVINOVAC;OSNOVNA ŠKOLA;LEVINOVAC 58;161;59;59;55;4;48;3;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;007;NAUDOVAC;ZGRADA MJESNOG ODBORA;NAUDOVAC 45;117;88;88;84;4;61;9;14
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;008;OREŠAC;DRUŠTVENI DOM MJESNOG ODBORA;OREŠAC 87;296;120;120;115;5;87;11;17
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;009;PČELIĆ;DRUŠTVENI DOM MJESNOG ODBORA;PČELIĆ BB;328;133;133;131;2;84;21;26
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;010;PEPELANA;DRUŠTVENI DOM MJESNOG ODBORA;PEPELANA 135;112;39;39;39;0;32;4;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;011;PIVNICA SLAVONSKA;DRUŠTVENI DOM MJESNOG ODBORA;PIVNICA SLAVONSKA 30;83;19;19;19;0;17;1;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;012;SUHOPOLJE;OSNOVNA ŠKOLA;KRALJA TOMISLAVA 26;1302;448;448;428;20;263;69;96
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;013;SUHOPOLJE;PRIVATNA KUĆA;KAPAN 62;146;36;36;35;1;24;6;5
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;014;SUHOPOLJE;HRVATSKI DOM;TRG SVETE TEREZIJE 10;909;360;360;340;20;220;62;58
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;015;MALA TRAPINSKA;DRUŠTVENI DOM MJESNOG ODBORA;MALA TRAPINSKA 6A;78;39;39;38;1;31;3;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;016;TRNAVA CABUNSKA;PRIVATNA KUĆA;TRNAVA CABUNSKA 41;46;14;14;13;1;10;2;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;017;ZVONIMIROVO;DRUŠTVENI DOM MJESNOG ODBORA;STJEPANA RADIĆA 1;75;32;32;32;0;28;3;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;SUHOPOLJE;018;ŽUBRICA;DRUŠTVENI DOM MJESNOG ODBORA;ŽUBRICA 50;83;35;35;34;1;26;4;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;001;ŠPIŠIĆ BUKOVICA;AMBULANTA ŠPIŠIĆ BUKOVICA;VLADIMIRA NAZORA 59;483;153;153;150;3;107;12;31
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;002;ŠPIŠIĆ BUKOVICA;"OSNOVNA ŠKOLA ""AUGUST CESAREC"", MATIČNA ŠKOLA";VLADIMIRA NAZORA 1;509;201;201;196;5;131;16;49
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;003;ŠPIŠIĆ BUKOVICA;VATROGASNI DOM;PETRA PRERADOVIĆA BB;477;172;172;166;6;118;21;27
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;004;LOZAN;DRUŠTVENI DOM;IVE MARINKOVIĆA BB;331;136;136;136;0;92;25;19
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;005;VUKOSAVLJEVICA;DRUŠTVENI DOM;BILOGORSKA BB;500;267;267;257;10;203;16;38
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;006;ROGOVAC;DRUŠTVENI DOM;ROGOVAC 25;179;74;74;73;1;51;19;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;007;BUŠETINA;OSNOVNA ŠKOLA ''AUGUST CESAREC'', PODRUČNA ŠKOLA BUŠETINA;VLADIMIRA NAZORA 8;615;340;340;325;15;215;82;28
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ŠPIŠIĆ BUKOVICA;008;OKRUGLJAČA;DRUŠTVENI DOM;OKRUGLJAČA 44 A;203;116;116;113;3;75;18;20
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;VOĆIN;001;VOĆIN;VIJEĆNICA OPĆINE VOĆIN;TRG GOSPE VOĆINSKE 11;960;383;381;354;27;268;53;33
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;VOĆIN;002;ĆERALIJE;OSNOVNA ŠKOLA VOĆIN-PODRUČNA ŠKOLA ĆERALIJE;PETRA PRERADOVIĆA 36;666;228;228;214;14;187;17;10
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;VOĆIN;003;HUM;HRVATSKI DOM;HUM 45;174;60;60;54;6;27;21;6
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;001;ZDENCI;MUZEJSKO-GALERIJSKI PROSTOR;HRVATSKIH BRANITELJA 2;341;213;213;196;17;139;30;27
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;002;ZDENCI;"OSNOVNA ŠKOLA ""IVAN GORAN KOVAČIĆ""";ŠKOLSKA 1;372;279;279;265;14;188;35;42
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;003;BANKOVCI;MJESNI DOM;BANKOVCI 59;106;90;90;72;18;48;14;10
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;004;DUGA MEĐA;MJESNI DOM DUGA MEĐA;KRALJA TOMISLAVA 66;147;95;95;85;10;38;34;13
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;005;SLAVONSKE BARE;MJESNI DOM;SLAVONSKE BARE 26;128;93;93;86;7;57;13;16
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;006;DONJE PREDRIJEVO;MJESNI DOM;DONJE PREDRIJEVO 62;101;58;58;55;3;32;17;6
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;007;ZOKOV GAJ;MJESNI DOM;ZOKOV GAJ 11;96;55;55;49;6;37;6;6
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;008;KUTOVI;MJESNI DOM KUTOVI;ZDRAVKA KEVČIĆA  53;142;74;74;68;6;54;3;11
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ZDENCI;009;OBRADOVCI;MJESNI DOM;OBRADOVCI 7;39;20;20;18;2;15;0;3
